SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
AKSHAR,EQ,AKSHAR SPINTEX LIMITED,0.52,0.53,0.52,0.52,543247,285964.45,20250811,0.53,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,False,0.5,4,707464.705,False,False,Inside,False,Risk Off,False,None,,,,,0.40421020013994907,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
VARDMNPOLY,EQ,VARDHMAN POLYTEX LTD.,9.45,9.58,8.56,9.26,672429,6137798.41,20250811,9.69,9.11,9.4,9.399999999999999,9.399999999999999,9.399999999999999,9.399999999999999,9.399999999999999,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,2755450.9050000003,False,False,Lower,False,Risk Off,False,None,,,,,2.2275114388220243,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SONACOMS,EQ,SONA BLW PRECISION FRGS L,445.45,449.8,440.45,445.95,2797929,1243456450.15,20250811,449.3,440.7,445.0,445.0,445.0,445.0,445.0,445.0,0.0,0.0,Narrow,Neutral,Above CPR,Cash Only,Automobile and Auto Components,True,False,False,0.3333333333333333,4,849654791.975,False,False,Inside,False,Risk Off,False,None,,,,,1.463484301971179,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
VIKASECO,EQ,VIKAS ECOTECH LIMITED,2.16,2.19,2.16,2.16,1709531,3708017.29,20250811,2.2,2.14,2.17,2.17,2.17,2.17,2.17,2.17,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,4089270.5,False,False,Lower,False,Risk Off,False,None,,,,,0.9067674270997724,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
RANASUG,EQ,RANA SUGARS LTD.,14.09,14.2,13.9,14.02,90418,1271159.92,20250811,14.25,13.93,14.09,14.089999999999998,14.09,14.089999999999996,14.09,14.089999999999996,3.552713678800501e-15,2.5214433490422292e-14,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.3333333333333333,4,1745108.58,False,False,Inside,False,Risk Off,False,None,,,,,0.7284130824684845,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
AMDIND,EQ,AMD INDUSTRIES LIMITED,50.99,51.59,50.0,50.78,11910,603438.17,20250811,51.2,50.38,50.79,50.79,50.790000000000006,50.78999999999999,50.790000000000006,50.78999999999999,1.4210854715202004e-14,2.7979631256550508e-14,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.3333333333333333,4,403881.32999999996,False,False,Higher,False,Risk Off,False,None,,,,,1.4940977093444754,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
KITEX,EQ,KITEX GARMENTS LTD,162.63,162.63,162.63,162.63,168204,27355016.52,20250811,171.19,171.19,171.19,171.18999999999997,171.19,171.18999999999994,171.19,171.18999999999994,5.684341886080802e-14,3.3204871114438935e-14,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.6666666666666666,4,27154526.605,False,False,Lower,False,Risk Off,False,Bearish Virgin,,,,,1.0073832962701357,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
POKARNA,EQ,POKARNA LIMITED,898.7,909.0,888.4,904.45,64791,58311950.95,20250811,910.0,887.5,898.7,898.7333333333332,898.75,898.7166666666665,898.75,898.7166666666665,0.03333333333353039,0.003709061236622943,Narrow,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,76057491.225,False,False,Lower,False,Risk Off,False,Bearish Virgin,,,,,0.766682545148596,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
STAR,EQ,STRIDES PHARMA SCI LTD,804.45,814.45,792.05,797.75,180769,144400229.6,20250811,816.65,792.05,804.4,804.3666666666667,804.3499999999999,804.3833333333334,804.3833333333334,804.3499999999999,0.03333333333353039,0.004143875352253902,Narrow,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,217845303.95,False,False,Higher,False,Risk Off,False,None,,,,,0.662856747341879,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
DVL,EQ,DHUNSERI VENTURES LIMITED,344.45,386.0,343.0,370.65,337864,126756890.15,20250811,346.25,341.5,343.85,343.8666666666666,343.875,343.85833333333323,343.875,343.85833333333323,0.016666666666765195,0.0048470747903926695,Narrow,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,4363443.55,False,False,Inside,False,Risk Off,False,None,,,,,29.049737597728292,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
LUXIND,EQ,LUX INDUSTRIES LIMITED,1317.9,1326.7,1299.0,1319.0,11607,15208068.3,20250811,1334.6,1305.0,1319.7,1319.7666666666667,1319.8,1319.7333333333333,1319.8,1319.7333333333333,0.06666666666660603,0.005051653153489886,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.3333333333333333,4,17667487.9,False,False,Inside,False,Risk Off,False,None,,,,,0.8607940407872022,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
PLASTIBLEN,EQ,PLASTIBLENDS INDIA LTD,190.95,193.66,188.13,191.88,5397,1032265.09,20250811,192.77,188.2,190.47,190.48000000000002,190.485,190.47500000000002,190.485,190.47500000000002,0.009999999999990905,0.005250170630540718,Narrow,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,1677990.51,False,False,Higher,False,Risk Off,False,None,,,,,0.6151793373372535,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
NURECA,EQ,NURECA LIMITED,238.2,248.0,233.45,238.51,22113,5307288.07,20250811,240.0,234.0,236.98,236.99333333333334,237.0,236.98666666666668,237.0,236.98666666666668,0.013333333333321207,0.005626353841387969,Narrow,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,2856892.88,False,False,Higher,False,Risk Off,False,None,,,,,1.8577133595572546,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
AWL,EQ,AWL AGRI BUSINESS LIMITED,254.15,256.0,250.6,255.25,635151,160824316.45,20250811,256.7,251.65,254.15,254.16666666666666,254.175,254.1583333333333,254.175,254.1583333333333,0.016666666666708352,0.006557807069332423,Narrow,Bearish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,False,0.3333333333333333,4,206313485.175,False,False,Higher,False,Risk Off,False,Bullish Virgin,,,,,0.7795143216818085,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SCODATUBES,EQ,SCODA TUBES LIMITED,193.0,193.0,181.83,187.12,317961,59313738.26,20250811,194.04,180.4,187.24,187.2266666666667,187.22,187.23333333333338,187.23333333333338,187.22,0.01333333333337805,0.007120985544423227,Narrow,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,66536347.099999994,False,False,Higher,False,Risk Off,False,Bullish Virgin,,,,,0.8914486719695498,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
DELHIVERY,EQ,DELHIVERY LIMITED,464.65,470.8,462.0,467.95,1969339,919378147.85,20250811,467.95,461.25,464.65,464.6166666666666,464.6,464.6333333333332,464.6333333333332,464.6,0.03333333333318933,0.007173858459741598,Narrow,Bullish,Above CPR,Cash Only,Services,True,True,False,0.3333333333333333,4,1321662528.65,False,False,Higher,False,Risk Off,False,None,,,,,0.6956224663410033,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
KNRCON,EQ,KNR CONSTRU LTD.,209.75,211.1,205.0,210.3,518913,108375195.95,20250811,210.73,206.5,208.59,208.60666666666668,208.615,208.59833333333336,208.615,208.59833333333336,0.01666666666665151,0.007990156127643467,Narrow,Bearish,Above CPR,Cash Only,Infrastructure,False,False,False,0.3333333333333333,4,102134405.65,False,False,Higher,False,Risk Off,False,None,,,,,1.061103702129391,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SHARDAMOTR,EQ,SHARDA MOTOR INDS LTD,1086.9,1090.0,1041.5,1042.7,60298,63474669.4,20250811,1061.3,1022.0,1041.5,1041.6000000000001,1041.65,1041.5500000000002,1041.65,1041.5500000000002,0.09999999999990905,0.009601536245790595,Narrow,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,4,54714552.9,False,False,Higher,False,Risk Off,False,Bullish Virgin,,,,,1.1601057860421629,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
