SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,10.48,11.95,10.48,11.32,826205,9415787.91,20250808,10.9,10.5,10.66,10.686666666666667,10.7,10.673333333333336,10.7,10.673333333333336,0.02666666666666373,0.2501563477172958,Moderate,Bearish,Above CPR,Cash Only,Information Technology,False,False,False,0.5,3,231473.5,False,False,Lower,False,Risk Off,False,None,,,,,40.677606335066436,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
EIHAHOTELS,EQ,EIH ASSOCIATED HOTELS LTD,370.0,382.0,368.5,370.6,19915,7462036.25,20250808,377.9,367.0,371.05,371.98333333333335,372.45,371.5166666666667,372.45,371.5166666666667,0.9333333333332803,0.2515384269864655,Moderate,Bearish,Below CPR,Cash Only,Hotels & Tourism,False,False,False,0.5,3,8062052.8,False,False,Lower,False,Risk Off,False,None,,,,,0.9255752145408921,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
SATIN,EQ,SATIN CREDIT NET LTD,145.1,145.43,142.06,142.99,117163,16737987.47,20250808,145.48,141.0,142.7,143.06,143.24,142.88,143.24,142.88,0.36000000000001364,0.25227750525579096,Moderate,Bearish,Inside CPR,Cash Only,Diversified,False,False,False,0.5,3,16737987.47,False,False,Inside,False,Risk Off,False,None,,,,,1.0,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
DVL,EQ,DHUNSERI VENTURES LIMITED,341.5,346.25,341.5,343.85,4826,1662695.35,20250808,350.0,339.1,343.25,344.1166666666666,344.55,343.6833333333332,344.55,343.6833333333332,0.8666666666667879,0.25248846807481073,Moderate,Bearish,Inside CPR,Cash Only,Diversified,False,False,False,1.0,3,3046559.25,False,False,Lower,False,Risk Off,False,Bearish Virgin,,,,,0.5457616982174235,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
CLSEL,EQ,CHAMAN LAL SETIA EXP LTD,291.85,301.8,288.3,295.4,93771,27858760.55,20250808,295.6,283.0,290.4,289.6666666666667,289.3,290.03333333333336,290.03333333333336,289.3,0.7333333333333485,0.25252525252525776,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.5,3,27858760.55,False,False,Lower,False,Risk Off,False,None,,,,,1.0,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
PLATIND,EQ,PLATINUM INDUSTRIES LTD,277.6,278.9,270.1,271.8,51775,14208009.25,20250808,286.3,269.7,276.95,277.65000000000003,278.0,277.30000000000007,278.0,277.30000000000007,0.6999999999999318,0.25275320454953304,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.5,3,14208009.25,False,False,Higher,False,Risk Off,False,None,,,,,1.0,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
SANDESH,EQ,SANDESH LTD,1344.0,1374.8,1312.2,1368.0,11438,15567054.8,20250808,1374.8,1325.0,1344.8,1348.2,1349.9,1346.5,1349.9,1346.5,3.400000000000091,0.252825698988704,Moderate,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.5,3,41859484.8,False,False,Inside,False,Risk Off,False,None,,,,,0.3718883515737872,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
NIITLTD,EQ,NIIT LIMITED,118.79,118.79,115.12,116.53,376589,43838063.77,20250808,118.38,115.01,117.14,116.84333333333332,116.695,116.99166666666665,116.99166666666665,116.695,0.29666666666665265,0.25325820954981443,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.5,3,38366042.74,False,False,Lower,False,Risk Off,False,Bearish Virgin,,,,,1.1426266729431267,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD,57.9,58.59,56.13,56.77,39624,2268794.47,20250808,59.0,57.22,57.89,58.03666666666667,58.11,57.96333333333334,58.11,57.96333333333334,0.14666666666666117,0.25335406230205765,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.5,3,2268794.47,False,False,Higher,False,Risk Off,False,None,,,,,1.0,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
AXISBANK,EQ,AXIS BANK LIMITED,1073.0,1080.4,1054.2,1058.1,5084903,5399674776.7,20250808,1079.7,1064.5,1076.2,1073.4666666666665,1072.1,1074.833333333333,1074.833333333333,1072.1,2.733333333333121,0.2539800532738451,Moderate,Bullish,Below CPR,Cash Only,Financial Services,True,False,False,1.0,3,5399674776.7,False,False,Higher,False,Risk Off,False,None,,,,,1.0,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
