SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
RVTH,EQ,REVATHI EQUIPMENT INDIA L,1182.7,1182.7,1182.7,1182.7,574,678869.8,20250922,1182.7,1182.7,1182.7,1182.7,1182.7,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.12,25,978319.85,Higher,False,No setup
ODIGMA,EQ,ODIGMA CONSULTANCY SOL L,56.09,56.09,56.09,56.09,35376,1984239.84,20250922,56.09,56.09,56.09,56.09,56.09,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.1,10,3003554.205,Higher,False,No setup
ZEELEARN,EQ,ZEE LEARN LIMITED,9.96,9.96,9.96,9.96,351330,3499246.8,20250922,9.96,9.96,9.96,9.96,9.96,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.1,10,3570488.585,Higher,False,No setup
JYOTHYLAB,EQ,JYOTHY LABS LIMITED,323.9,324.9,320.5,322.7,353340,113786772.9,20250922,322.7,322.7,322.7,322.7,322.7,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.03125,32,89322162.65,Lower,False,No setup
AKSHAR,EQ,AKSHAR SPINTEX LIMITED,0.57,0.6,0.56,0.58,3834179,2222381.7,20250922,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Unclassified,False,False,0.109375,32,1096842.035,Higher,False,No setup
NIVABUPA,EQ,NIVA BUPA HEALTH INS CO L,83.39,83.39,82.29,82.84,1749364,144901261.44,20250922,82.84,82.84,82.84,82.84,82.84,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Financial Services,False,False,0.03125,32,114728511.2,Higher,False,No setup
HINDMOTORS,EQ,HINDUSTAN MOTORS LIMITED,21.54,21.54,21.54,21.54,1055080,22726423.2,20250922,21.540000000000003,21.54,21.540000000000006,21.540000000000006,21.54,7.105427357601002e-15,3.2987127936866306e-14,Narrow,Bullish,Inside CPR,Cash Only,Unclassified,False,False,1.0,1,22726423.2,Unknown,False,No setup
RUBYMILLS,EQ,THE RUBY MILLS LTD,236.39,236.5,231.25,233.88,15928,3732337.59,20250922,233.87666666666667,233.875,233.87833333333333,233.87833333333333,233.875,0.0033333333333303017,0.001425232312865701,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.03125,32,3101179.98,Lower,True,No setup
TIMKEN,EQ,TIMKEN INDIA LTD.,3057.3,3076.0,3023.0,3049.6,71087,216587203.6,20250922,3049.5333333333333,3049.5,3049.5666666666666,3049.5666666666666,3049.5,0.06666666666660603,0.00218607904861641,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.03125,32,176353760.25,Higher,True,Long
SILINV,EQ,SIL INVESTMENTS LIMITED,582.1,606.55,580.6,593.55,6240,3682884.4,20250922,593.5666666666667,593.575,593.5583333333334,593.575,593.5583333333334,0.01666666666665151,0.0028079633841549168,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.03125,32,1037189.575,Higher,True,No setup
