SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
SPLPETRO,EQ,SUPREME PETROCHEM LIMITED,862.4,872.0,805.3,832.15,1322333,1107822801.8,20250930,979.0,816.3,843.25,879.5166666666668,897.65,861.3833333333336,897.65,861.3833333333336,36.266666666666424,4.300820239154038,Wide,Bearish,Below CPR,Cash Only,Chemicals,True,False,False,1.0,38,23643452.775,False,False,Outside,True,Risk Off,False,None,34.61428571428574,,,1.0477369651946544,46.85537312770935,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
KRISHANA,EQ,KRISHANA PHOSCHEM LIMITED,456.8,474.0,448.05,450.7,266970,122285358.8,20250930,526.0,451.0,462.65,479.8833333333334,488.5,471.26666666666677,488.5,471.26666666666677,17.233333333333235,3.724918044598127,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,76952517.9,False,False,Lower,True,Risk Off,False,Bearish Virgin,24.328571428571433,,,0.7083577999608492,1.5891014633063747,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
DPSCLTD,EQ,DPSC LIMITED,12.51,12.51,12.0,12.09,111890,1362458.46,20250930,13.31,11.85,12.05,12.403333333333334,12.58,12.226666666666668,12.58,12.226666666666668,0.3533333333333317,2.932226832641757,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,1072248.4849999999,False,False,Overlapping,True,Risk Off,False,None,0.5514285714285714,,,0.6407599309153684,1.2706555234722483,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
GTECJAINX,EQ,G-TEC JAINX EDUCATION LTD,24.57,24.57,24.11,24.2,1159,28250.93,20250930,27.3,25.0,25.07,25.790000000000003,26.15,25.430000000000007,26.15,25.430000000000007,0.7199999999999918,2.871958516154734,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.9090909090909091,12,25095.769999999997,False,False,Outside,False,Risk Off,False,Bearish Virgin,,,,,1.1257247735375326,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
WEL,EQ,WONDER ELECTRICALS LTD,143.95,149.0,123.15,125.28,2403026,325674784.6,20250930,156.5,142.59,143.74,147.61,149.54500000000002,145.675,149.54500000000002,145.675,3.8700000000000045,2.692361207736193,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.972972972972973,38,33509238.655,False,False,Outside,True,Risk Off,False,None,9.428571428571427,,,0.410454545454546,9.71895506051449,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
ASTRON,EQ,ASTRON PAPER BORD MIL LTD,13.68,13.84,12.9,13.17,286238,3828123.43,20250930,14.4,13.03,13.19,13.54,13.715,13.364999999999998,13.715,13.364999999999998,0.3500000000000014,2.6535253980288207,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.8108108108108109,38,741848.515,True,False,Lower,True,Risk Off,False,Bearish Virgin,1.0121428571428568,,,0.3458009880028244,5.160249501881122,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
DIGIDRIVE,EQ,DIGIDRIVE DISTRIBUTORS L,30.1,31.4,29.01,29.27,82065,2440123.01,20250930,33.39,30.01,30.49,31.296666666666667,31.700000000000003,30.89333333333333,31.700000000000003,30.89333333333333,0.806666666666672,2.6456761779818696,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,950909.255,False,False,Outside,True,Risk Off,False,None,1.6164285714285713,,,0.49904256886139675,2.566094500783884,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
AURUM,EQ,AURUM PROPTECH LIMITED,172.29,173.0,167.51,169.57,169207,28848825.58,20250930,186.4,169.0,170.92,175.43999999999997,177.7,173.17999999999995,177.7,173.17999999999995,4.520000000000039,2.6445120524222085,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,8509116.52,False,False,Higher,True,Risk Off,False,None,8.297857142857143,,,0.5447189463717013,3.3903432291934346,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
CHEMPLASTS,EQ,CHEMPLAST SANMAR LIMITED,389.0,398.15,382.95,388.9,78650,30568628.55,20250930,421.75,380.0,385.8,395.84999999999997,400.875,390.82499999999993,400.875,390.82499999999993,10.050000000000068,2.6049766718507175,Wide,Bearish,Below CPR,Cash Only,Chemicals & Fertilizers,False,False,False,1.0,38,16872292.825,False,False,Lower,True,Risk Off,False,Bearish Virgin,13.299999999999999,,,0.7556390977443661,1.8117649371700022,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
KERNEX,EQ,KERNEX MICROSYS(I) LTD,1045.1,1066.3,1007.9,1021.2,132516,136694664.7,20250930,1138.5,1032.7,1044.9,1072.0333333333333,1085.6,1058.4666666666667,1085.6,1058.4666666666667,27.133333333333212,2.5967397199093893,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,16,77192037.7,False,False,Overlapping,False,Risk Off,False,Bearish Virgin,46.114285714285764,,,0.5883932259396911,1.7708389203463142,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
