SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
MCLOUD,EQ,MAGELLANIC CLOUD LIMITED,60.63,61.79,57.93,59.6,6564409,391991668.06,20251020,71.49,57.65,59.94,63.026666666666664,64.57,61.483333333333334,64.57,61.483333333333334,3.086666666666659,5.149594038482914,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,51,328374395.12,False,False,Lower,True,Risk Off,False,Bearish Virgin,3.978571428571429,78.4996,,0.7758228605625354,1.1937339630781867,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
LYPSAGEMS,EQ,LYPSA GEMS & JEWEL LTD,5.97,6.08,5.86,5.9,65304,387210.79,20251020,6.9,6.01,6.01,6.3066666666666675,6.455,6.158333333333335,6.455,6.158333333333335,0.2966666666666651,4.936217415418721,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,29,285848.0,False,False,Lower,True,Risk Off,False,Bearish Virgin,0.5028571428571429,,,0.589962121212118,1.3546038104167248,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
ASTEC,EQ,ASTEC LIFESCIENCES LTD,706.5,719.8,693.0,706.6,178928,126471178.9,20251020,847.0,700.05,729.05,758.6999999999999,773.525,743.8749999999999,773.525,743.8749999999999,29.65000000000009,4.066936424113585,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,51,9990804.1,False,False,Higher,True,Risk Off,False,Bearish Virgin,30.374999999999993,817.0980000000001,,0.9761316872428015,12.65875875796624,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
NIRAJISPAT,EQ,NIRAJ ISPAT IND LTD,318.4,319.0,272.95,278.0,1077,306057.9,20251020,305.0,260.9,300.6,288.8333333333333,282.95,294.71666666666664,294.71666666666664,282.95,11.766666666666652,3.914393435351514,Wide,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.9285714285714286,15,80874.4,False,False,Higher,False,Risk Off,False,None,33.19285714285713,,,0.3544939387418403,3.7843606876836184,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
SUNDARAM,EQ,SUNDARAM MULTI PAP LTD,1.85,1.93,1.77,1.8,1442282,2610504.02,20251020,2.08,1.82,1.85,1.9166666666666667,1.9500000000000002,1.8833333333333333,1.9500000000000002,1.8833333333333333,0.06666666666666687,3.6036036036036148,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.98,51,748591.54,False,False,Lower,True,Risk Off,False,Bearish Virgin,0.09928571428571424,1.9546000000000001,,0.6714628297362134,3.487220841421745,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
SWSOLAR,EQ,STRLNG & WIL REN ENE LTD,228.07,228.48,219.43,224.81,4417823,984679974.46,20251020,247.54,223.52,226.47,232.51,235.53,229.48999999999998,235.53,229.48999999999998,6.0400000000000205,2.6670199143374487,Wide,Bearish,Below CPR,Cash Only,Power & Utilities,False,False,False,1.0,51,369788057.35,False,False,Lower,True,Risk Off,False,Bearish Virgin,7.403571428571423,259.482,,0.815822479498315,2.662822540880524,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
SUVEN,EQ,SUVEN LIFE SCIENCES LTD,192.99,197.79,186.0,191.66,291244,55425087.57,20251020,208.0,190.05,191.51,196.51999999999998,199.025,194.01499999999996,199.025,194.01499999999996,5.010000000000048,2.616051381128948,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,29,35512993.88,False,False,Lower,True,Risk Off,False,Bearish Virgin,9.109285714285713,,,0.5499882380616379,1.560698817939255,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
POKARNA,EQ,POKARNA LIMITED,829.1,829.1,782.05,793.05,155343,124127048.3,20251020,835.8,760.0,829.1,808.3000000000001,797.9,818.7000000000002,818.7000000000002,797.9,20.800000000000182,2.508744421662065,Wide,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.98,51,60604726.15,False,False,Higher,True,Risk Off,False,Bullish Virgin,30.989285714285717,838.753,,0.6711997234067132,2.0481413940024873,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
TANLA,EQ,TANLA PLATFORMS LIMITED,680.0,683.8,626.65,636.55,1138161,738638158.45,20251020,726.8,671.1,674.55,690.8166666666666,698.95,682.6833333333332,698.95,682.6833333333332,16.26666666666688,2.4114841993428033,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,51,306945408.1,False,False,Lower,True,Risk Off,False,Bearish Virgin,28.689285714285713,671.515,,0.5669944810988082,2.4064154046877237,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
ONWARDTEC,EQ,ONWARD TECHNOLOGIES LTD,310.9,319.5,303.65,308.75,63909,19855290.9,20251020,335.0,300.0,306.45,313.81666666666666,317.5,310.1333333333333,317.5,310.1333333333333,7.366666666666674,2.403872301082289,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,11,15486412.35,False,False,Outside,False,Risk Off,False,None,,,,,1.2821104366370562,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
