SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
CARTRADE,EQ,CARTRADE TECH LIMITED,3044.0,3146.0,2861.6,3000.6,1042199,3128107154.9,20251111,3058.0,2895.0,2981.7,2978.2333333333336,2976.5,2979.966666666667,2979.966666666667,2976.5,3.4666666666671517,0.11626477065657685,Narrow,Bullish,Above CPR,Cash Only,Consumer Services,True,True,False,0.11666666666666667,60,774323510.85,True,True,Higher,True,Risk Off,True,None,162.54999999999998,2581.14,,0.02132677124987482,4.039793588943432,True,False,No setup,0.0,None,Ready,80,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (4.0x volume). Coiling inside band (₹2,976.50 - ₹2,979.97), closed above Central Pivot (₹2,978.23). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹2,976.50).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
BHARTIARTL,EQ,BHARTI AIRTEL LIMITED,2020.1,2056.9,2017.4,2042.3,14825625,30289652182.7,20251111,2028.8,1992.2,2019.8,2013.6000000000001,2010.5,2016.7000000000003,2016.7000000000003,2010.5,6.200000000000273,0.3069610852559794,Moderate,Bullish,Above CPR,Cash Only,Telecommunication,True,False,False,0.7,60,8862537734.3,False,False,Inside,True,Risk Off,False,None,43.68571428571435,1962.256,,0.14192282537606885,3.417717711426185,True,False,No setup,0.0,None,Ready,74,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (3.4x volume). Coiling inside band (₹2,010.50 - ₹2,016.70), closed above Central Pivot (₹2,013.60). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹2,010.50).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
NAVINFLUOR,EQ,NAVIN FLUORINE INT. LTD,5993.5,6122.5,5980.5,6024.0,207081,1248729439.5,20251111,6045.0,5950.0,5993.5,5996.166666666667,5997.5,5994.833333333334,5997.5,5994.833333333334,2.6666666666660603,0.04449264480964479,Narrow,Bearish,Above CPR,Cash Only,Chemicals,True,False,False,0.05,60,408536248.5,True,True,Inside,True,Risk Off,True,None,214.1500000000001,4965.698,,0.01245233092069138,3.05659398421778,True,False,No setup,0.0,None,Ready,74,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (3.1x volume). Coiling inside band (₹5,994.83 - ₹5,997.50), closed above Central Pivot (₹5,996.17). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹5,994.83).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
IOC,EQ,INDIAN OIL CORP LTD,168.9,173.49,167.32,172.44,20113006,3443654671.23,20251111,171.39,168.5,169.39,169.76,169.945,169.575,169.945,169.575,0.37000000000000455,0.21843084007320654,Narrow,Bearish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,False,0.43333333333333335,60,1286025574.255,False,False,Higher,True,Risk Off,False,None,3.984285714285712,151.5394,,0.0928648261025469,2.6777497587673738,True,False,No setup,0.0,None,Ready,73,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (2.7x volume). Coiling inside band (₹169.57 - ₹169.94), closed above Central Pivot (₹169.76). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹169.57).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MANOMAY,EQ,MANOMAY TEX INDIA LTD,226.33,232.9,222.0,227.71,108243,24513539.55,20251111,228.55,219.43,225.83,224.60333333333335,223.99,225.2166666666667,225.2166666666667,223.99,1.2266666666666879,0.5431814491726908,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.5333333333333333,60,1931768.905,True,False,Higher,True,Risk Off,False,Bullish Virgin,7.526428571428574,189.42680000000001,,0.16298124070735148,12.689685337905365,True,False,No setup,0.0,None,Ready,73,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (12.7x volume). Coiling inside band (₹223.99 - ₹225.22), closed above Central Pivot (₹224.60). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹223.99).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GHCL,EQ,GHCL LIMITED,620.0,622.0,614.8,618.85,369374,227958489.65,20251111,620.1,612.15,618.55,616.9333333333333,616.125,617.7416666666666,617.7416666666666,616.125,1.6166666666665606,0.26136394255380496,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.36666666666666664,60,55962059.95,False,False,Overlapping,True,Risk Off,False,None,15.178571428571436,602.5419999999999,,0.10650980392156159,4.073447079211744,True,False,No setup,0.0,None,Ready,72,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (4.1x volume). Coiling inside band (₹616.12 - ₹617.74), closed above Central Pivot (₹616.93). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹616.12).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
PRECWIRE,EQ,PRECISION WIRES INDIA LTD,227.65,233.0,221.55,230.56,517261,117295074.83,20251111,231.05,223.73,227.85,227.54333333333332,227.39,227.69666666666666,227.69666666666666,227.39,0.30666666666667197,0.13459147099700328,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.15,60,45213480.735,True,True,Higher,True,Risk Off,True,None,10.399285714285712,198.6336,,0.029489204844655597,2.5942500538163884,True,False,No setup,0.0,None,Ready,72,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (2.6x volume). Coiling inside band (₹227.39 - ₹227.70), closed above Central Pivot (₹227.54). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹227.39).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
WELCORP,EQ,WELSPUN CORP LIMITED,912.0,940.0,903.15,920.6,939050,869298851.65,20251111,923.6,893.0,912.55,909.7166666666666,908.3,911.1333333333332,911.1333333333332,908.3,2.8333333333332575,0.310485270213496,Moderate,Bullish,Above CPR,Cash Only,Capital Goods,True,False,False,0.38333333333333336,60,291100241.875,True,True,Higher,True,Risk Off,False,None,33.653571428571446,872.87,,0.08419116346527769,2.986252591378064,True,False,No setup,0.0,None,Ready,72,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (3.0x volume). Coiling inside band (₹908.30 - ₹911.13), closed above Central Pivot (₹909.72). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹908.30).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
AEGISLOG,EQ,AEGIS LOGISTICS LIMITED,776.6,790.75,767.05,780.05,818427,634523426.45,20251111,777.65,761.65,769.6,769.6333333333333,769.65,769.6166666666667,769.65,769.6166666666667,0.03333333333330302,0.004331254331250391,Narrow,Bearish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,False,0.016666666666666666,60,262403752.575,True,True,Inside,True,Risk Off,True,None,22.69285714285713,769.4860000000001,,0.00146889098730325,2.4181187205721884,True,False,No setup,0.0,None,Ready,69,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (2.4x volume). Coiling inside band (₹769.62 - ₹769.65), closed above Central Pivot (₹769.63). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹769.62).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
HINDPETRO,EQ,HINDUSTAN PETROLEUM CORP,480.5,489.5,470.0,487.9,6815234,3293454041.65,20251111,485.2,477.75,482.0,481.65000000000003,481.475,481.82500000000005,481.82500000000005,481.475,0.35000000000002274,0.07261410788382215,Narrow,Bullish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,True,False,0.21666666666666667,60,1758017574.95,True,False,Higher,True,Risk Off,True,None,12.89642857142856,433.95599999999996,,0.027139296593743135,1.8733908514786433,True,False,No setup,0.0,None,Ready,66,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (1.9x volume). Coiling inside band (₹481.48 - ₹481.83), closed above Central Pivot (₹481.65). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹481.48).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SHRIRAMFIN,EQ,SHRIRAM FINANCE LIMITED,821.1,833.3,804.05,832.3,7336169,6017582285.55,20251111,830.7,816.65,821.1,822.8166666666666,823.675,821.9583333333333,823.675,821.9583333333333,1.716666666666697,0.20906913490034065,Narrow,Bearish,Above CPR,Cash Only,Financial Services,True,False,False,0.4166666666666667,60,3233285403.775,False,False,Higher,True,Risk Off,False,None,23.43928571428572,667.2990000000001,,0.07323886434049597,1.8611355120473476,True,False,No setup,0.0,None,Ready,66,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (1.9x volume). Coiling inside band (₹821.96 - ₹823.67), closed above Central Pivot (₹822.82). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹821.96).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
