SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
KANANIIND,EQ,KANANI INDUSTRIES LTD,1.61,1.68,1.6,1.62,130144,211359.22,20260116,1.63,1.59,1.61,1.61,1.6099999999999999,1.6100000000000003,1.6100000000000003,1.6099999999999999,4.440892098500626e-16,2.758318073602873e-14,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.08333333333333333,60,311525.43,True,True,Lower,True,Risk Off,True,None,0.08285714285714284,1.7247999999999999,1.8366999999999998,5.359697360259378e-15,0.6784653824247991,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SBFC,EQ,SBFC FINANCE LIMITED,101.55,109.75,101.5,107.01,5943935,637082326.66,20260116,101.93,101.18,101.57,101.56,101.555,101.565,101.565,101.555,0.009999999999990905,0.009845426799242794,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,True,False,0.016666666666666666,60,129430112.225,True,True,Lower,True,Risk Off,True,None,2.662857142857143,105.9778,107.7667,0.0037553648068635375,4.922211035037214,True,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
HFCL,EQ,HFCL LIMITED,64.46,69.05,63.91,68.02,40137629,2691506110.49,20260116,66.3,62.5,64.41,64.40333333333334,64.4,64.40666666666667,64.40666666666667,64.4,0.006666666666660603,0.010350359674989294,Narrow,Bullish,Above CPR,Cash Only,Telecommunication,True,True,False,0.016666666666666666,60,884353902.2049999,True,True,Higher,True,Risk Off,True,Bullish Virgin,3.9050000000000016,68.9646,71.5997,0.0017072129748170553,3.043471741097252,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
RAYMONDREL,EQ,RAYMOND REALTY LIMITED,480.3,486.35,475.25,482.1,96086,46265191.1,20260116,478.75,469.7,474.3,474.25,474.225,474.275,474.275,474.225,0.049999999999954525,0.010541851149052187,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,88177447.675,True,True,Lower,True,Risk Off,True,None,17.42857142857144,505.858,563.762,0.002868852459013782,0.5246828108534273,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
EXPLEOSOL,EQ,EXPLEO SOLUTIONS LIMITED,938.05,962.15,935.0,952.95,7075,6678865.25,20260116,944.7,931.0,938.05,937.9166666666666,937.85,937.9833333333332,937.9833333333332,937.85,0.13333333333321207,0.014213883410608396,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,10790792.875,True,True,Inside,True,Risk Off,True,None,27.021428571428594,1019.38,1016.198,0.004934355449814876,0.6189411035285023,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
LODHA,EQ,LODHA DEVELOPERS LIMITED,1055.0,1086.9,1055.0,1070.9,1941994,2085826326.2,20260116,1069.6,1047.5,1058.8,1058.6333333333332,1058.55,1058.7166666666665,1058.7166666666665,1058.55,0.16666666666651508,0.015741090542738485,Narrow,Bullish,Above CPR,Cash Only,Realty,True,True,False,0.06666666666666667,60,1044850237.9,False,False,Lower,True,Risk Off,True,None,28.307142857142885,1122.302,1151.713,0.00588779544115874,1.9962921484252265,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
REPCOHOME,EQ,REPCO HOME FINANCE LTD,407.25,422.25,406.4,409.2,73959,30450091.3,20260116,409.5,404.9,407.3,407.23333333333335,407.2,407.2666666666667,407.2666666666667,407.2,0.06666666666671972,0.016367951550876437,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.05,60,45001572.425,False,False,Lower,True,Risk Off,True,None,12.300000000000002,411.20599999999996,395.7895,0.005420054200546318,0.6766450516978797,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
TCPLPACK,EQ,TCPL PACKAGING LIMITED,2785.0,2830.3,2751.7,2805.8,12590,35411395.3,20260116,2830.6,2751.1,2791.7,2791.133333333333,2790.85,2791.4166666666665,2791.4166666666665,2790.85,0.566666666666606,0.020298265095339975,Narrow,Bullish,Above CPR,Cash Only,Paper & Packaging,False,True,False,0.05,60,8518639.8,True,True,Lower,True,Risk Off,True,Bearish Virgin,76.08571428571433,3064.322,3230.6240000000003,0.007447740643383853,4.156930699194488,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
DHUNINV,EQ,DHUNSERI INVESTMENTS LTD,1134.9,1168.7,1134.9,1139.2,140,161850.4,20260116,1164.0,1106.7,1135.7,1135.4666666666665,1135.35,1135.583333333333,1135.583333333333,1135.35,0.23333333333312112,0.02054533180709,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,993283.6000000001,True,True,Lower,True,Risk Off,True,None,46.7142857142857,1232.2959999999998,1328.5690000000002,0.004994903160036234,0.16294480247131835,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
IRFC,EQ,INDIAN RAILWAY FIN CORP L,122.39,123.89,121.59,122.19,11686581,1433187178.73,20260116,123.29,120.65,122.01,121.98333333333333,121.97,121.99666666666667,121.99666666666667,121.97,0.026666666666670835,0.021856132011040762,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,True,False,0.016666666666666666,60,727644939.395,True,True,Inside,True,Risk Off,True,None,3.8128571428571405,119.6188,122.1407,0.006993880354690744,1.969624333430564,True,True,No setup,0.0,None,Ready,65,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (2.0x volume). Coiling inside band (₹121.97 - ₹122.00), closed above Central Pivot (₹121.98). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹121.97).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
