SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
360ONE,EQ,360 ONE WAM LIMITED,1111.0,1152.0,1104.1,1139.9,1596026,1813267711.0,20260128,1125.0,1100.3,1113.7,1113.0,1112.65,1113.35,1113.35,1112.65,0.6999999999998181,0.06285355122562791,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,True,False,0.18333333333333332,60,655202720.1,False,False,Lower,True,Risk On,True,None,42.30714285714287,1148.522,1117.477,0.01654566942427393,2.7674911220198397,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
3PLAND,EQ,3P LAND HOLDINGS LIMITED,36.78,36.78,33.41,35.34,2300,80587.49,20260128,36.0,33.4,34.73,34.71,34.7,34.72,34.72,34.7,0.01999999999999602,0.057587100489478904,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.15,60,152130.885,True,True,Lower,True,Risk On,True,None,2.2107142857142863,37.7156,40.556599999999996,0.009046849757671865,0.5297247169764377,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
5PAISA,EQ,5PAISA CAPITAL LIMITED,343.4,363.65,343.3,354.55,101862,36130122.2,20260128,347.25,334.0,341.6,340.95,340.625,341.275,341.275,340.625,0.6499999999999773,0.1902810304449582,Narrow,Bullish,Above CPR,Cash Only,Stock Broking,False,True,False,0.15,60,27122486.825,True,True,Inside,True,Risk On,True,None,23.771428571428565,339.681,337.50849999999997,0.02734374999999905,1.3321094939825822,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,617.0,632.7,615.1,628.35,67490,42075914.75,20260128,627.0,575.05,616.55,606.1999999999999,601.025,611.3749999999999,611.3749999999999,601.025,10.349999999999909,1.6786959695077301,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.9333333333333333,60,73942739.925,False,False,Overlapping,True,Risk On,False,Bullish Virgin,34.32142857142856,729.2309999999999,787.7235,0.30156087408948756,0.5690337522341955,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation light
AADHARHFC,EQ,AADHAR HOUSING FINANCE L,475.0,475.95,468.4,475.55,369079,174861837.6,20260128,475.0,470.0,474.55,473.18333333333334,472.5,473.8666666666667,473.8666666666667,472.5,1.3666666666666742,0.28799213289783465,Moderate,Bullish,Above CPR,Cash Only,Financial Services,True,False,False,0.5333333333333333,60,122702985.525,False,False,Higher,True,Risk On,False,None,8.385714285714288,483.909,498.809,0.16297558205565105,1.4250821758886456,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
AARTIPHARM,EQ,AARTI PHARMALABS LIMITED,766.0,771.6,757.65,762.55,122082,93326502.25,20260128,780.0,735.0,766.5,760.5,757.5,763.5,763.5,757.5,6.0,0.7827788649706457,Wide,Bullish,Inside CPR,Cash Only,Diversified,False,False,False,0.7,60,126009017.65,False,False,Lower,True,Risk On,False,None,32.41071428571428,737.9540000000001,793.1654999999998,0.1851239669421488,0.7406335196519167,True,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Consolidation,Watch,Wide CPR + close inside CPR; consolidation/range watch
AARVI,EQ,AARVI ENCON LIMITED,121.0,121.0,117.99,118.24,20814,2473286.71,20260128,122.5,118.0,120.45,120.31666666666666,120.25,120.38333333333333,120.38333333333333,120.25,0.13333333333332575,0.11069600110695371,Narrow,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.11666666666666667,60,1718310.9449999998,True,True,Inside,True,Risk On,True,None,5.7928571428571445,127.575,124.9684,0.023016851623508756,1.439370864276256,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ABBOTINDIA,EQ,ABBOTT INDIA LIMITED,27895.0,27895.0,27515.0,27610.0,3515,97208815.0,20260128,27915.0,27230.0,27685.0,27610.0,27572.5,27647.5,27647.5,27572.5,75.0,0.2709048221058335,Moderate,Bullish,Inside CPR,Cash Only,Healthcare,True,False,False,0.5166666666666667,60,161411762.5,False,False,Lower,True,Risk On,False,None,531.0714285714286,28546.1,29328.25,0.14122394082044384,0.6022412090320864,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,348.5,352.9,344.65,348.3,5150983,1787929325.5,20260128,352.2,342.9,348.9,348.0,347.54999999999995,348.45000000000005,348.45000000000005,347.54999999999995,0.900000000000091,0.2579535683577217,Moderate,Bullish,Inside CPR,Cash Only,Financial Services,True,False,False,0.31666666666666665,60,1287500554.85,True,False,Lower,True,Risk On,False,None,10.417857142857141,350.949,326.907,0.0863901268426553,1.388682372807445,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ABDL,EQ,ALLIED BLEND N DISTILS L,454.2,465.9,448.5,463.3,676721,309821469.65,20260128,457.95,435.65,454.15,449.25,446.79999999999995,451.70000000000005,451.70000000000005,446.79999999999995,4.900000000000091,1.0789386766487044,Wide,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,False,0.7666666666666667,60,280681202.825,False,False,Outside,True,Risk On,False,None,20.328571428571426,581.086,574.8254999999999,0.2410400562192596,1.1038198017241947,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation confirmed
