SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
SHREDIGCEM,EQ,SHREE DIGVIJAY CEM CO LTD,91.05,91.59,91.05,91.32,167918,15339851.07,20260106,91.32,91.32,91.32,91.32,91.32,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.03,50,19913354.485,Higher,False,No setup
MANORG,EQ,MANGALAM ORGANICS LIMITED,481.25,483.1,472.0,477.55,2442,1169852.85,20260106,477.55,477.55,477.55,477.55,477.55,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.02,50,1458851.7999999998,Lower,False,No setup
DVL,EQ,DHUNSERI VENTURES LIMITED,280.0,283.0,280.0,281.5,5551,1562118.6,20260106,281.5,281.5,281.5,281.5,281.5,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.02,50,4077527.325,Inside,False,No setup
MANGALAM,EQ,MANGALAM DRUG & CHEM LTD,33.42,33.42,33.42,33.42,467368,15619438.56,20260106,33.42,33.42,33.42,33.42,33.42,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.06,50,2092364.565,Higher,False,No setup
KCPSUGIND,EQ,KCP SUGAR IND CORP LTD.,26.18,26.18,25.0,25.59,205494,5244487.04,20260106,25.59,25.59,25.59,25.59,25.59,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.02,50,1876578.48,Lower,False,No setup
FILATFASH,EQ,FILATEX FASHIONS LIMITED,0.31,0.32,0.3,0.31,74570720,23196573.52,20260106,0.31,0.31,0.31,0.31,0.31,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.05,50,27168612.46,Lower,False,No setup
AKSHAR,EQ,AKSHAR SPINTEX LIMITED,0.5,0.52,0.5,0.51,542938,277956.64,20260106,0.51,0.51,0.51,0.51,0.51,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.08,25,481662.19,Inside,False,No setup
INVENTURE,EQ,INVENTURE GRO & SEC LTD,1.22,1.23,1.21,1.22,805763,984864.1,20260106,1.22,1.22,1.22,1.22,1.22,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.08,50,1131263.83,Higher,False,No setup
GODAVARIB,EQ,GODAVARI BIOREFINERIES L,292.0,297.8,286.5,292.15,119241,34751247.05,20260106,292.15,292.15,292.15,292.15,292.15,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.02,50,29983786.525,Lower,False,No setup
IPL,EQ,INDIA PESTICIDES LIMITED,174.75,174.75,172.44,173.59,65162,11285401.75,20260106,173.59333333333333,173.595,173.59166666666667,173.595,173.59166666666667,0.0033333333333303017,0.0019202335003919014,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.02,50,23121392.98,Lower,True,Short
