SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
HILTON,EQ,HILTON METAL FORGING LTD,23.75,24.24,20.94,21.06,1252173,26949176.34,20260219,22.08,22.59,21.57,22.59,21.57,1.0200000000000031,4.843304843304859,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,60,3114517.29,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
NAGREEKCAP,EQ,NAGREEKA CAP & INFR.LTD,28.5,32.0,27.15,27.64,40003,1156282.1,20260219,28.93,29.575,28.284999999999997,29.575,28.284999999999997,1.2900000000000065,4.667149059334321,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,23,210605.96,Outside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SHIVALIK,EQ,SHIVALIK RASAYAN LIMITED,308.5,339.0,294.5,298.65,295182,92587345.05,20260219,310.71666666666664,316.75,304.6833333333333,316.75,304.6833333333333,12.06666666666672,4.040404040404058,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,60,8177932.15,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
HGM,EQ,HANDSON GBL MNGMNT LTD,59.05,62.66,55.99,56.0,9903,567040.69,20260219,58.21666666666667,59.325,57.10833333333333,59.325,57.10833333333333,2.216666666666669,3.9583333333333366,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9818181818181818,55,313646.92,Outside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
LOTUSEYE,EQ,LOTUS EYE HOSP & INST L,134.0,136.71,123.69,123.69,147793,19362922.36,20260219,128.03,130.2,125.86,130.2,125.86,4.339999999999975,3.508771929824541,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9803921568627452,51,3269043.1,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SANGHIIND,EQ,SANGHI INDUSTRIES LTD,62.43,68.0,60.53,61.15,797154,49123890.27,20260219,63.22666666666667,64.265,62.18833333333333,64.265,62.18833333333333,2.076666666666668,3.3960207140910352,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,60,16375478.31,Outside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SURAJLTD,EQ,SURAJ LIMITED,246.5,246.5,220.31,222.51,344,77354.83,20260219,229.7733333333333,233.405,226.14166666666665,233.405,226.14166666666665,7.263333333333378,3.264272766767057,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9666666666666668,60,301148.2,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
CYBERMEDIA,EQ,CYBER MEDIA (INDIA) LTD.,15.07,16.55,14.76,14.94,16398,249985.15,20260219,15.416666666666666,15.655,15.178333333333333,15.655,15.178333333333333,0.4766666666666701,3.190539937527913,Wide,Bearish,Below CPR,Cash Only,Information Technology,False,True,1.0,41,150398.86,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BLBLIMITED,EQ,BLB LIMITED,19.4,19.89,17.8,18.0,923891,17217201.85,20260219,18.563333333333333,18.845,18.281666666666663,18.845,18.281666666666663,0.5633333333333326,3.1296296296296253,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9666666666666668,60,1453826.14,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
KAVDEFENCE,EQ,KAVVERI DFS & WIR TEC LTD,67.0,72.0,65.92,66.01,696124,47626736.31,20260219,67.97666666666667,68.96000000000001,66.99333333333334,68.96000000000001,66.99333333333334,1.9666666666666688,2.9793465636519745,Wide,Bearish,Below CPR,Cash Only,Aerospace & Defense,False,True,0.96875,32,14740768.66,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
