SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
COUNCODOS,EQ,COUNTRY CONDO S LIMITED,5.06,5.25,5.06,5.21,24519,126563.13,20260202,5.35,5.03,5.19,5.19,5.1899999999999995,5.190000000000001,5.190000000000001,5.1899999999999995,1.7763568394002505e-15,3.4226528697500005e-14,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,258189.84,True,True,Lower,True,Risk Off,True,None,0.4450000000000001,5.753000000000001,6.2698,3.9918131222477526e-15,0.4901940758009688,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MANALIPETC,EQ,MANALI PETROCHEMICALS LT,58.6,60.5,57.47,58.74,290310,17137864.08,20260202,58.21,56.82,57.52,57.51666666666667,57.515,57.518333333333345,57.518333333333345,57.515,0.0033333333333445125,0.00579508576728879,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.016666666666666666,60,10680717.805,True,True,Inside,True,Risk Off,True,None,2.4400000000000004,60.6616,65.1858,0.0013661202185838164,1.6045610784677031,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
UNITEDTEA,EQ,UNITED NILGIRI TEA LTD,473.05,476.9,470.0,474.7,1399,661437.75,20260202,476.45,470.05,473.3,473.26666666666665,473.25,473.2833333333333,473.2833333333333,473.25,0.03333333333330302,0.007042749489394257,Narrow,Bullish,Above CPR,Cash Only,FMCG & Food Products,False,True,False,0.016666666666666666,60,711804.65,True,True,Lower,True,Risk Off,True,None,7.389285714285701,457.355,458.86199999999997,0.004511035927174897,0.9292405577850608,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
BERGEPAINT,EQ,BERGER PAINTS (I) LTD,467.05,470.5,452.85,466.15,225137,103987774.25,20260202,466.4,459.25,462.9,462.84999999999997,462.825,462.87499999999994,462.87499999999994,462.825,0.049999999999954525,0.010801468999774147,Narrow,Bullish,Above CPR,Cash Only,Consumer Durables,True,True,False,0.03333333333333333,60,142401302.475,True,True,Lower,True,Risk Off,True,None,13.414285714285711,533.6659999999999,537.445,0.0037273695420626386,0.7302445444152881,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MONTECARLO,EQ,MONTE CARLO FASHIONS LTD.,561.55,582.0,548.85,573.35,28472,15971114.75,20260202,572.4,560.1,566.35,566.2833333333333,566.25,566.3166666666666,566.3166666666666,566.25,0.06666666666660603,0.011771283952786446,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.016666666666666666,60,21992361.975,True,True,Lower,True,Risk Off,True,None,28.485714285714284,674.0970000000001,682.492,0.0023403543965207735,0.7262118897531469,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MARKOLINES,EQ,MARKOLINES PAVEMENT TEC L,136.5,136.5,133.49,135.49,37481,5056405.15,20260202,135.65,134.5,135.1,135.08333333333334,135.075,135.0916666666667,135.0916666666667,135.075,0.016666666666708352,0.012336540833981016,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,22912633.515,True,True,Lower,True,Risk Off,True,None,5.199285714285712,151.934,,0.003205568530483817,0.22068197209586451,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
PTL,EQ,PTL ENTERPRISES LTD,41.75,42.39,41.32,41.56,124937,5228623.54,20260202,40.39,40.03,40.22,40.21333333333333,40.21,40.21666666666666,40.21666666666666,40.21,0.006666666666660603,0.016575501408902547,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.11666666666666667,60,1385114.855,True,True,Higher,True,Risk Off,True,Bullish Virgin,0.8299999999999998,39.2922,39.5972,0.008032128514048921,3.774866409905047,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SCHAEFFLER,EQ,SCHAEFFLER INDIA LIMITED,3578.0,3700.0,3550.0,3659.9,51688,188116436.0,20260202,3680.0,3562.2,3622.1,3621.433333333333,3621.1,3621.766666666666,3621.766666666666,3621.1,0.6666666666660603,0.018405529020901146,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,True,False,0.03333333333333333,60,181940225.0,True,True,Higher,True,Risk Off,True,None,111.04999999999998,3808.7859999999996,3934.86,0.0060033018159933406,1.0339463744205,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
PERSISTENT,EQ,PERSISTENT SYSTEMS LTD,6119.5,6120.0,5992.0,6082.5,180834,1095727454.5,20260202,6085.0,5979.5,6035.0,6033.166666666667,6032.25,6034.083333333334,6034.083333333334,6032.25,1.8333333333339397,0.03037834852251764,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,True,False,0.1,60,1975895133.75,True,True,Lower,True,Risk Off,True,None,193.21428571428572,6314.02,5944.073,0.009488601355517616,0.5545473723701355,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
GRINFRA,EQ,G R INFRAPROJECTS LIMITED,967.8,995.0,952.5,968.95,33800,32866650.35,20260202,1017.6,910.0,964.35,963.9833333333332,963.8,964.1666666666665,964.1666666666665,963.8,0.36666666666656056,0.03802215654757718,Narrow,Bullish,Above CPR,Cash Only,Infrastructure,False,True,False,0.06666666666666667,60,15239338.3,False,False,Higher,True,Risk Off,True,Bullish Virgin,30.914285714285718,1000.1590000000001,1109.6535,0.011860751694389665,2.1566979945579394,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
