SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
UNOMINDA,EQ,UNO MINDA LIMITED,1208.4,1242.7,1176.5,1230.8,2378517,2903721462.3,20260205,1222.9,1195.8,1204.8,1207.8333333333333,1209.35,1206.3166666666666,1209.35,1206.3166666666666,3.033333333333303,0.25177069499778415,Moderate,Bearish,Above CPR,Cash Only,Automobile and Auto Components,True,False,False,0.31666666666666665,60,755679410.65,True,True,Lower,True,Neutral,False,None,43.62142857142861,1242.144,1257.682,0.06953768899077485,3.8425308687481046,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,6.65,6.78,6.45,6.53,15337,100904.54,20260205,6.75,6.4,6.6,6.583333333333333,6.575,6.591666666666666,6.591666666666666,6.575,0.01666666666666572,0.25252525252523816,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.31666666666666665,60,290204.86,False,False,Outside,True,Neutral,False,None,0.49714285714285716,6.9934,7.4276,0.03352490421455748,0.34770106882427815,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD,935.6,939.05,921.0,925.65,28805,26739568.5,20260205,950.25,935.0,939.05,941.4333333333334,942.625,940.2416666666668,942.625,940.2416666666668,2.383333333333212,0.25380260192036763,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.3333333333333333,60,54479867.25,True,True,Lower,True,Neutral,False,Bearish Virgin,39.51071428571429,898.742,914.1625,0.06032119075597028,0.49081559573734096,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ASALCBR,EQ,ASSO ALCOHOLS & BREW LTD,878.45,917.2,845.55,857.85,68778,59875982.9,20260205,914.0,875.0,891.1,893.3666666666667,894.5,892.2333333333333,894.5,892.2333333333333,2.2666666666666515,0.2543672614371733,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.36666666666666664,60,29508236.5,True,True,Inside,True,Neutral,False,None,39.51428571428573,916.421,970.734,0.057363220053024425,2.0291277962341123,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
NPST,EQ,NETWORK PEOPLE SRV TECH L,1219.3,1235.0,1188.1,1220.4,7229,8777219.8,20260205,1255.0,1170.1,1217.2,1214.1000000000001,1212.55,1215.6500000000003,1215.6500000000003,1212.55,3.100000000000364,0.2546828787381173,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.26666666666666666,60,16287311.5,False,False,Inside,True,Neutral,False,None,80.74285714285715,1404.25,1643.2520000000002,0.03839348903043621,0.5388992406757862,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
KCP,EQ,KCP LTD,176.6,177.8,173.1,173.83,34302,6001422.1,20260205,179.18,175.37,176.6,177.04999999999998,177.275,176.82499999999996,177.275,176.82499999999996,0.4500000000000455,0.25481313703286834,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.35,60,20641775.665,True,True,Higher,True,Neutral,False,None,6.705,177.3184,187.18830000000003,0.06711409395973833,0.29074156203412066,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
DODLA,EQ,DODLA DAIRY LIMITED,1200.0,1200.0,1177.1,1182.1,7985,9453959.6,20260205,1210.0,1185.0,1202.1,1199.0333333333333,1197.5,1200.5666666666666,1200.5666666666666,1197.5,3.066666666666606,0.2551091146049918,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.5333333333333333,60,39194461.6,False,False,Overlapping,True,Neutral,False,None,39.99285714285718,1217.006,1260.4489999999998,0.07668035958802008,0.24120651781066943,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
MBAPL,EQ,MADHYA BHARAT AGRO P. LTD,429.5,434.7,429.45,433.95,168350,72925366.95,20260205,430.95,425.55,429.9,428.8,428.25,429.35,429.35,428.25,1.1000000000000227,0.25587345894394575,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.35,60,28230988.4,False,False,Higher,True,Neutral,False,Bullish Virgin,13.846428571428564,410.125,413.81049999999993,0.07944286819706127,2.5831673307619654,True,True,No setup,0.0,None,Liftoff,84,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹429.35) with strong 2.6x volume. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹429.35 with stop below Pivot (₹428.80).,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
DHUNINV,EQ,DHUNSERI INVESTMENTS LTD,1024.4,1024.4,995.0,1002.0,538,540569.9,20260205,1027.8,981.1,1000.6,1003.1666666666666,1004.45,1001.8833333333332,1004.45,1001.8833333333332,2.5666666666668334,0.25651275901127657,Moderate,Bearish,Inside CPR,Cash Only,Diversified,False,False,False,0.23333333333333334,60,888858.05,False,False,Lower,True,Neutral,True,None,56.75714285714286,1152.018,1275.05,0.045221914590153116,0.6081622369286075,False,False,Watch Short,0.0,None,None,0,No active J-Curve setup.,Short,56,Mixed,CPR width: 0.2565% (12/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.61x) (4/20); Higher timeframe: unavailable (10/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
CAPILLARY,EQ,CAPILLARY TECHNO INDIA L,612.0,618.0,599.1,611.6,132702,80773035.15,20260205,628.1,597.9,610.65,612.2166666666667,613.0,611.4333333333334,613.0,611.4333333333334,1.566666666666606,0.25655722044814644,Moderate,Bearish,Inside CPR,Cash Only,Diversified,False,False,False,0.27450980392156865,52,466036762.15,False,False,Lower,True,Neutral,False,Bearish Virgin,21.935714285714294,658.934,,0.07142081840876742,0.17331902053684373,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
QPOWER,EQ,QUALITY POWER ELEC EQUP L,805.0,844.95,775.0,816.65,7116496,5783503844.65,20260205,778.0,745.0,764.45,762.4833333333332,761.5,763.4666666666665,763.4666666666665,761.5,1.9666666666664696,0.2572655721978507,Moderate,Bullish,Above CPR,Cash Only,Power & Utilities,False,False,False,0.26666666666666666,60,324743947.70000005,True,False,Higher,True,Neutral,False,Bullish Virgin,46.517857142857146,715.3690000000001,835.6139999999999,0.04227767114522929,17.809427660197155,True,False,No setup,0.0,None,Liftoff,92,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹763.47) with massive 17.8x volume surge. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹763.47 with stop below Pivot (₹762.48).,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
HCL-INSYS,EQ,HCL INFOSYSTEMS LTD,12.92,13.18,12.7,12.82,170625,2203040.1,20260205,13.28,12.66,12.92,12.953333333333333,12.969999999999999,12.936666666666667,12.969999999999999,12.936666666666667,0.03333333333333144,0.25799793601649723,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.16666666666666666,60,3048665.4749999996,True,True,Higher,True,Neutral,True,None,0.7685714285714284,13.4562,14.3114,0.043370508054520474,0.7226244132278896,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
NOIDATOLL,EQ,NOIDA TOLL BRIDGE CO LTD,3.94,3.96,3.65,3.78,115426,436815.5,20260205,4.0,3.77,3.87,3.8800000000000003,3.885,3.875000000000001,3.885,3.875000000000001,0.009999999999998899,0.25839793281650897,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.16666666666666666,60,468573.875,False,False,Lower,True,Neutral,True,None,0.25357142857142856,4.1708,,0.03943661971830552,0.9322233340473794,False,False,Short,0.5,None,None,0,No active J-Curve setup.,Short,74,Confirmed,CPR width: 0.2584% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: moderate (0.93x) (12/20); Higher timeframe: unavailable (10/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GEECEE,EQ,GEECEE VENTURES LIMITED,312.9,312.9,305.3,309.6,2344,727279.6,20260205,316.35,313.0,315.9,315.0833333333333,314.675,315.4916666666666,315.4916666666666,314.675,0.816666666666606,0.25852062889098004,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.35,60,1008857.5,True,False,Overlapping,True,Neutral,False,Bearish Virgin,9.549999999999995,328.825,341.69700000000006,0.08551483420592737,0.7208942789244268,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
BETA,EQ,BETA DRUGS LIMITED,1479.6,1479.6,1430.2,1459.3,2278,3308938.0,20260205,1478.9,1446.2,1456.9,1460.6666666666667,1462.5500000000002,1458.7833333333333,1462.5500000000002,1458.7833333333333,3.766666666666879,0.2585398219964911,Moderate,Bearish,Inside CPR,Cash Only,Diversified,False,False,False,0.28,51,6607345.5,False,False,Overlapping,True,Neutral,False,None,81.83571428571425,1583.0279999999998,,0.04602717407116726,0.5007968782622311,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
EICHERMOT,EQ,EICHER MOTORS LTD,7290.0,7309.5,7176.5,7209.5,254212,1834011893.5,20260205,7328.0,7170.5,7277.5,7258.666666666667,7249.25,7268.083333333334,7268.083333333334,7249.25,18.83333333333394,0.25878850337799986,Moderate,Bullish,Below CPR,Cash Only,Automobile and Auto Components,True,False,False,0.43333333333333335,60,3115812212.0,True,False,Higher,True,Neutral,False,None,210.96428571428572,7226.53,7080.925,0.08927261441228208,0.5886143864629028,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
HCLTECH,EQ,HCL TECHNOLOGIES LTD,1613.7,1631.8,1600.2,1610.0,3184531,5133797457.8,20260205,1645.0,1586.0,1621.8,1617.6000000000001,1615.5,1619.7000000000003,1619.7000000000003,1615.5,4.200000000000273,0.25897151313357214,Moderate,Bullish,Below CPR,Cash Only,Information Technology,True,False,False,0.5166666666666667,60,3612230913.3,False,False,Lower,True,Neutral,False,Bearish Virgin,43.61428571428572,1661.144,1583.146,0.09629872256797217,1.4212262673733538,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
SAFARI,EQ,SAFARI IND (INDIA) LTD,2079.0,2111.6,2020.8,2106.0,18085,37379854.1,20260205,2115.4,2060.0,2079.6,2085.0,2087.7,2082.3,2087.7,2082.3,5.399999999999636,0.25966532025387745,Moderate,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.36666666666666664,60,45755708.099999994,True,True,Higher,True,Neutral,False,None,77.53571428571429,2192.2780000000002,2197.099,0.0696453247351404,0.8169440634227668,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
PRAENG,EQ,PRAJAY ENG. SYN. LTD.,23.0,23.48,21.3,21.83,56745,1261109.9,20260205,23.71,22.23,23.06,23.0,22.97,23.03,23.03,22.97,0.060000000000002274,0.26019080659151034,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.2,26,3784914.35,False,False,Higher,True,Neutral,True,None,2.6785714285714293,,,0.022400000000000843,0.3331937749132949,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
WELSPUNLIV,EQ,WELSPUN LIVING LIMITED,142.6,143.8,139.36,142.0,5229042,740505396.03,20260205,152.85,137.6,144.66,145.03666666666666,145.225,144.84833333333333,145.225,144.84833333333333,0.37666666666666515,0.26038066270334936,Moderate,Bearish,Below CPR,Cash Only,Textiles,True,False,False,0.21666666666666667,60,200865458.23000002,True,False,Inside,True,Neutral,True,Bearish Virgin,7.8164285714285695,131.4224,128.9253,0.04818910109963733,3.6865741006703496,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
UNITEDTEA,EQ,UNITED NILGIRI TEA LTD,481.05,483.0,473.1,476.25,1482,710661.45,20260205,481.0,474.55,479.65,478.3999999999999,477.775,479.02499999999986,479.02499999999986,477.775,1.2499999999998863,0.26060669237983664,Moderate,Bullish,Below CPR,Cash Only,FMCG & Food Products,False,False,False,0.55,60,671252.2,False,False,Overlapping,True,Neutral,False,None,8.374999999999988,459.50300000000004,458.9055,0.14925373134327022,1.0587100496653865,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
JUBLINGREA,EQ,JUBILANT INGREVIA LIMITED,632.5,646.35,617.05,626.05,257742,161548861.8,20260205,668.1,641.3,652.15,653.85,654.7,653.0,654.7,653.0,1.7000000000000455,0.2606762247949161,Moderate,Bearish,Below CPR,Cash Only,Chemicals,True,False,False,0.3,60,102618342.975,True,False,Lower,True,Neutral,False,Bearish Virgin,32.517857142857146,687.23,685.7029999999999,0.052278967600221056,1.5742688598992165,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
NORTHARC,EQ,NORTHERN ARC CAPITAL LTD,255.0,264.05,254.0,256.55,417350,107682080.9,20260205,256.6,249.1,253.85,253.18333333333337,252.85000000000002,253.5166666666667,253.5166666666667,252.85000000000002,0.6666666666666856,0.2626222835007625,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.31666666666666665,60,109839828.725,False,False,Overlapping,True,Neutral,False,Bullish Virgin,13.335000000000004,259.1582,264.2876,0.04999375078115376,0.9803555062854092,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
PARKHOSPS,EQ,PARK MEDI WORLD LIMITED,156.5,157.99,153.1,155.52,843342,131632445.49,20260205,159.75,153.71,157.35,156.9366666666667,156.73000000000002,157.14333333333337,157.14333333333337,156.73000000000002,0.4133333333333553,0.2626840377078839,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.30303030303030304,34,126182883.945,True,False,Higher,True,Neutral,False,None,6.821428571428565,,,0.06059336823735057,1.043187803088851,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
DYNPRO,EQ,DYNEMIC PRODUCTS LIMITED,221.05,222.17,215.74,218.96,40878,9006354.03,20260205,225.72,219.1,221.53,222.11666666666667,222.41,221.82333333333335,222.41,221.82333333333335,0.5866666666666447,0.2648249296558681,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.31666666666666665,60,3529528.875,False,False,Lower,True,Neutral,False,Bearish Virgin,8.33928571428571,249.0336,284.05830000000003,0.07034975017844138,2.5517156393854403,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
CASTROLIND,EQ,CASTROL INDIA LIMITED,187.05,187.1,184.9,185.61,2570246,477249943.15,20260205,189.65,183.64,187.39,186.89333333333332,186.64499999999998,187.14166666666665,187.14166666666665,186.64499999999998,0.4966666666666697,0.2650443815927583,Moderate,Bullish,Below CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,False,0.6166666666666667,60,252375391.97,False,False,Higher,True,Neutral,False,None,3.0942857142857116,187.553,192.62779999999998,0.16051092643890538,1.8910320036540287,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
TECILCHEM,EQ,TECIL CHEMICALS,15.0,15.1,14.53,15.0,3790,56568.86,20260205,15.98,14.0,15.05,15.01,14.99,15.03,15.03,14.99,0.03999999999999915,0.2657807308970043,Moderate,Bullish,Inside CPR,Cash Only,Chemicals & Fertilizers,False,False,False,0.15555555555555556,46,20336.190000000002,False,False,Lower,True,Neutral,True,Bearish Virgin,1.427857142857143,,,0.02801400700350115,2.7816842781268267,False,False,Watch Long,0.0,None,None,0,No active J-Curve setup.,Long,52,Mixed,CPR width: 0.2658% (12/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: confirmed (2.78x) (20/20); Higher timeframe: unavailable (10/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
BYKE,EQ,THE BYKE HOSPITALITY LTD,51.51,54.0,51.51,52.12,106112,5604424.85,20260205,54.56,51.1,52.62,52.76,52.83,52.69,52.83,52.69,0.14000000000000057,0.2660585328772341,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.2,60,3098133.39,False,False,Higher,True,Neutral,True,None,3.267142857142857,52.6022,58.48259999999999,0.042850896370791605,1.8089682219912422,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
COSMOFIRST,EQ,COSMO FIRST LIMITED,644.65,672.55,627.6,630.25,73379,47506896.5,20260205,659.35,635.1,644.65,646.3666666666667,647.225,645.5083333333333,647.225,645.5083333333333,1.716666666666697,0.26629437162284914,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.23333333333333334,60,33285061.674999997,True,False,Inside,True,Neutral,True,None,33.614285714285714,670.2260000000001,766.457,0.05106955659441938,1.4272738011983872,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
AHLADA,EQ,AHLADA ENGINEERS LIMITED,50.02,51.35,49.8,50.76,2905,146467.33,20260205,51.44,49.0,50.02,50.153333333333336,50.22,50.08666666666667,50.22,50.08666666666667,0.13333333333332575,0.26656004264959166,Moderate,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.26666666666666666,60,502110.145,False,False,Higher,True,Neutral,False,None,2.775,50.824000000000005,55.02929999999999,0.04804804804804532,0.2917035862718926,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
KRONOX,EQ,KRONOX LAB SCIENCES LTD,128.5,128.5,123.81,126.16,16061,2014382.46,20260205,129.0,122.19,126.1,125.76333333333332,125.595,125.93166666666664,125.93166666666664,125.595,0.3366666666666447,0.2669838752312805,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.2833333333333333,60,5045634.695,True,False,Overlapping,True,Neutral,False,None,5.617857142857143,135.1812,145.0154,0.059927950837037836,0.39923271932392634,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
JIOFIN,EQ,JIO FIN SERVICES LTD,268.1,271.65,267.5,269.95,15768740,4250039063.3,20260205,269.9,263.95,268.0,267.2833333333333,266.92499999999995,267.64166666666665,267.64166666666665,266.92499999999995,0.716666666666697,0.26741293532339444,Moderate,Bullish,Above CPR,Cash Only,Financial Services,True,False,False,0.45,60,2756026749.675,False,False,Higher,True,Neutral,False,Bullish Virgin,9.960714285714284,287.517,297.4245,0.07194932472810155,1.5420891919141129,False,False,No setup,0.0,None,Ready,61,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with 1.5x volume. Coiling inside band (₹266.92 - ₹267.64), closed above Central Pivot (₹267.28). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹266.92).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
HSCL,EQ,HIMADRI SPECIALITY CHEM L,460.0,465.6,450.95,455.3,1153466,529000403.15,20260205,465.6,456.0,458.95,460.18333333333334,460.8,459.56666666666666,460.8,459.56666666666666,1.2333333333333485,0.2687293459708789,Moderate,Bearish,Below CPR,Cash Only,Chemicals,True,False,False,0.35,60,397165497.85,False,False,Lower,True,Neutral,False,None,17.964285714285715,465.385,463.13300000000004,0.06865473823724405,1.3319394711113373,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GESHIP,EQ,THE GE SHPG.LTD,1235.0,1285.4,1232.2,1266.1,889099,1126086299.7,20260205,1252.9,1214.7,1238.8,1235.466666666667,1233.8000000000002,1237.1333333333337,1237.1333333333337,1233.8000000000002,3.333333333333485,0.2690776019804234,Moderate,Bullish,Above CPR,Cash Only,Services,True,False,False,0.31666666666666665,60,298094976.15,True,True,Overlapping,True,Neutral,False,None,41.500000000000014,1119.114,1087.811,0.08032128514056587,3.7776091172142356,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
MINDACORP,EQ,MINDA CORPORATION LTD,580.5,607.5,576.15,595.3,1325125,787465538.85,20260205,584.95,574.35,582.0,580.4333333333334,579.6500000000001,581.2166666666667,581.2166666666667,579.6500000000001,1.566666666666606,0.26918671248567116,Moderate,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,False,False,0.23333333333333334,60,122388199.225,False,False,Lower,True,Neutral,True,None,25.62499999999999,578.752,575.2470000000001,0.06113821138211148,6.434162311697335,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
