SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Own_Narrow,Bias,Price_Position,Segment
ISGEC,Unclassified,1069.55,1069.3833333333332,1069.3,1069.4666666666665,0.015582877534151286,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
WHIRLPOOL,Consumer Durables,947.15,946.7833333333333,946.6,946.9666666666666,0.03871262911540522,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
KPIL,Construction,1264.0,1263.8333333333333,1263.75,1263.9166666666665,0.013185654008426827,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
CENTUM,Unclassified,2888.7,2888.566666666667,2888.5,2888.633333333334,0.004615686410292574,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
ASTERDM,Healthcare,687.6,687.4666666666667,687.4000000000001,687.5333333333333,0.01939111886754102,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
CARERATING,Unclassified,1598.3,1598.8999999999999,1599.1999999999998,1598.6,0.03753988612900639,0.016666666666666666,Lower,Short,True,Bearish,Below CPR,Cash Only
YATRA,Unclassified,122.37,122.33333333333333,122.315,122.35166666666666,0.029963771076784947,0.03333333333333333,Higher,Long,True,Bullish,Above CPR,Cash Only
INGERRAND,Unclassified,4188.2,4186.7,4185.95,4187.45,0.035814908552600166,0.03333333333333333,Higher,Long,True,Bullish,Above CPR,Cash Only
WEWORK,Unclassified,539.6,539.7333333333332,539.8,539.6666666666665,0.024709661477657418,0.03333333333333333,Lower,Short,True,Bearish,Below CPR,Cash Only
ALGOQUANT,Unclassified,55.0,55.01666666666667,55.025,55.00833333333335,0.030303030303002743,0.03333333333333333,Lower,Short,True,Bearish,Below CPR,Cash Only
WONDERLA,Unclassified,529.85,529.9333333333333,529.9749999999999,529.8916666666667,0.015727721682222806,0.03333333333333333,Lower,Short,True,Bearish,Below CPR,Cash Only
PINELABS,Financial Services,196.78,196.93666666666664,197.015,196.8583333333333,0.07961513703968631,0.03333333333333333,Lower,Short,True,Bearish,Below CPR,Cash Only
RATNAVEER,Unclassified,146.63,146.51,146.45,146.57,0.08183864147855456,0.03333333333333333,Higher,Long,True,Bullish,Above CPR,Cash Only
NEOGEN,Unclassified,1660.0,1659.3,1658.95,1659.6499999999999,0.04216867469878422,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
ENGINERSIN,Construction,243.68,243.84333333333333,243.925,243.76166666666666,0.06702779601664285,0.05,Lower,Short,True,Bearish,Below CPR,Cash Only
COCHINSHIP,Capital Goods,1592.8,1592.3666666666668,1592.15,1592.5833333333335,0.027205759249961953,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
CDSL,Financial Services,1323.6,1323.7333333333333,1323.8,1323.6666666666667,0.010073536818767912,0.05,Lower,Short,True,Bearish,Below CPR,Cash Only
POLYMED,Healthcare,1488.0,1487.3333333333333,1487.0,1487.6666666666665,0.04480286738350236,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
ICICIBANK,Financial Services,1348.0,1348.5,1348.75,1348.25,0.0370919881305638,0.05,Lower,Short,True,Bearish,Below CPR,Cash Only
RAMASTEEL,Unclassified,5.9,5.896666666666666,5.895,5.898333333333332,0.056497175141221656,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
