SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
NAGREEKCAP,EQ,NAGREEKA CAP & INFR.LTD,30.6,36.27,28.3,36.27,455228,16173408.08,20260422,33.61333333333334,32.285000000000004,34.94166666666667,34.94166666666667,32.285000000000004,2.6566666666666663,7.324694421468614,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,211932.595,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
DANGEE,EQ,DANGEE DUMS LIMITED,3.76,4.51,3.67,4.51,1743052,7684270.76,20260422,4.23,4.09,4.369999999999999,4.369999999999999,4.09,0.2799999999999993,6.208425720620828,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,304573.79,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
IRMENERGY,EQ,IRM ENERGY LIMITED,211.99,252.66,211.99,252.66,7488772,1795503757.3,20260422,239.10333333333327,232.325,245.88166666666663,245.88166666666663,232.325,13.556666666666672,5.365576928151141,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9833333333333332,60,21365432.135,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
THACKER,EQ,THACKER & CO. LTD.,1050.0,1200.0,1000.0,1022.0,354,385331.15,20260422,1074.0,1100.0,1048.0,1100.0,1048.0,52.0,5.088062622309197,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,3,1033.45,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,23.28,24.25,20.21,20.68,176513,3968312.67,20260422,21.71333333333333,22.23,21.19666666666667,22.23,21.19666666666667,1.0333333333333314,4.996776273372009,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9833333333333332,60,64104.43,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
ARE&M,EQ,AMARA RAJA ENERGY MOB LTD,779.45,924.0,777.5,898.7,35118416,30833855481.45,20260422,866.7333333333332,850.75,882.7166666666665,882.7166666666665,850.75,31.96666666666647,3.5569897259003525,Wide,Bullish,Above CPR,Cash Only,Automobile and Auto Components,False,False,1.0,60,306950251.125,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
INDOTECH,EQ,INDO TECH TRANSFORM LTD.,2049.9,2245.8,2011.8,2245.8,152847,331451920.9,20260422,2167.8,2128.8,2206.8,2206.8,2128.8,78.0,3.4731498797755807,Wide,Bullish,Above CPR,Cash Only,Information Technology,False,False,0.9833333333333332,60,42783159.55,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SATIA,EQ,SATIA INDUSTRIES LIMITED,66.2,75.05,66.2,74.45,787319,57297399.19,20260422,71.89999999999999,70.625,73.17499999999998,73.17499999999998,70.625,2.549999999999983,3.425117528542623,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,8201396.645,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
WALCHANNAG,EQ,WALCHANDNAGAR INDUSTRIES,190.05,217.75,188.7,213.92,7053184,1479812921.73,20260422,206.79,203.225,210.355,210.355,203.225,7.129999999999996,3.3330216903515315,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,120793706.37,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
GAUDIUMIVF,EQ,GAUDIUM IVF N WOMEN H L,104.85,119.7,104.0,117.59,7023005,797060651.98,20260422,113.76333333333332,111.85,115.67666666666663,115.67666666666663,111.85,3.826666666666654,3.2542449754797635,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9583333333333334,24,84910788.635,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
