SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
GATECHDVR,EQ,GACM TECHNOLOGIES LIMITED,0.62,0.67,0.49,0.5,6857058,3885269.89,20260512,0.5533333333333333,0.5800000000000001,0.5266666666666666,0.5800000000000001,0.5266666666666666,0.053333333333333455,10.666666666666691,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,229620.035,Outside,False,No setup
DYCL,EQ,DYNAMIC CABLES LIMITED,409.0,417.6,328.65,328.7,2540429,888035414.95,20260512,358.31666666666666,373.125,343.5083333333333,373.125,343.5083333333333,29.616666666666674,9.010242368928104,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,60296325.45,Lower,False,No setup
CORONA,EQ,CORONA REMEDIES LIMITED,1776.0,1949.4,1602.8,1631.2,265583,466066260.0,20260512,1727.8,1776.1,1679.5,1776.1,1679.5,96.59999999999991,5.92202059833251,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,35330174.9,Outside,False,No setup
ADL,EQ,ARCHIDPLY DECOR LIMITED,83.95,83.95,71.5,71.63,2877,214206.01,20260512,75.69333333333333,77.725,73.66166666666666,77.725,73.66166666666666,4.063333333333333,5.6726697380054905,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,60455.729999999996,Overlapping,False,No setup
NIITMTS,EQ,NIIT LEARNING SYSTEMS LTD,300.0,321.0,266.1,272.4,1904560,550732675.1,20260512,286.5,293.55,279.45,293.55,279.45,14.100000000000023,5.176211453744503,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,27137722.125,Lower,False,No setup
MERCANTILE,EQ,MERCANTILE VENTURES LTD.,28.95,31.9,27.0,27.53,40192,1142066.59,20260512,28.810000000000002,29.45,28.170000000000005,29.45,28.170000000000005,1.279999999999994,4.6494733018525025,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9375,16,41661.64,Overlapping,False,No setup
HPAL,EQ,HP ADHESIVES LIMITED,46.99,47.42,40.15,41.03,778319,34573001.1,20260512,42.86666666666667,43.785,41.94833333333334,43.785,41.94833333333334,1.836666666666659,4.4763993825655835,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,2561502.125,Lower,False,No setup
MOBIKWIK,EQ,ONE MOBIKWIK SYSTEMS LTD,229.9,233.75,198.25,202.85,13450584,2952080226.49,20260512,211.61666666666667,216.0,207.23333333333335,216.0,207.23333333333335,8.766666666666652,4.321748418371532,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,174554931.29,Lower,False,No setup
BIRLAPREC,EQ,BIRLA PRECISION TECH L,42.65,43.7,38.0,38.38,256510,10517456.52,20260512,40.02666666666667,40.85,39.20333333333334,40.85,39.20333333333334,1.6466666666666612,4.290429042904275,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,16,514270.54,Overlapping,False,No setup
GATECH,EQ,GACM TECHNOLOGIES LIMITED,0.6,0.64,0.55,0.56,38208646,23166831.53,20260512,0.5833333333333334,0.595,0.5716666666666668,0.595,0.5716666666666668,0.023333333333333206,4.166666666666644,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,2211350.81,Overlapping,False,No setup
MBEL,EQ,M AND B ENGINEERING LTD,325.2,333.0,283.6,290.3,1249508,375438560.6,20260512,302.3,308.3,296.3,308.3,296.3,12.0,4.133654839820874,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,43670917.775,Lower,False,No setup
SAMBHV,EQ,SAMBHV STEEL TUBES LTD,127.65,128.6,113.1,113.82,5963076,705450628.3,20260512,118.50666666666666,120.85,116.16333333333333,120.85,116.16333333333333,4.686666666666667,4.117612604697476,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,118636677.57,Lower,False,No setup
TIGERLOGS,EQ,TIGER LOGISTICS (INDIA) L,42.82,43.49,37.31,38.06,373351,15088324.69,20260512,39.620000000000005,40.400000000000006,38.84,40.400000000000006,38.84,1.5600000000000023,4.098791382028382,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9833333333333333,60,3229216.9299999997,Lower,False,No setup
ZFSTEERING,EQ,Z F STEERING GEAR (I) LTD,819.2,855.0,755.0,759.05,6788,5411334.35,20260512,789.6833333333334,805.0,774.3666666666668,805.0,774.3666666666668,30.633333333333212,4.035746437432739,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,15,1043721.2,Lower,False,No setup
PARACABLES,EQ,PARAMOUNT COMM LTD,60.9,60.9,54.07,54.22,8680092,491526389.36,20260512,56.39666666666667,57.485,55.30833333333334,57.485,55.30833333333334,2.1766666666666623,4.014508791343899,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9833333333333333,60,28255775.705,Lower,False,No setup
CROWN,EQ,CROWN LIFTERS LIMITED,143.42,150.39,128.86,131.91,31029,4301520.48,20260512,137.0533333333333,139.625,134.48166666666663,139.625,134.48166666666663,5.1433333333333735,3.899123139514346,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9833333333333333,60,1821139.5,Lower,False,No setup
PANSARI,EQ,PANSARI DEVELOPERS LTD,290.0,299.95,267.05,268.25,16856,4611790.85,20260512,278.4166666666667,283.5,273.33333333333337,283.5,273.33333333333337,10.166666666666629,3.789996893445155,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,265766.575,Lower,False,No setup
AVROIND,EQ,AVRO INDIA LIMITED,11.55,11.55,10.11,10.25,337308,3536583.76,20260512,10.636666666666667,10.83,10.443333333333333,10.83,10.443333333333333,0.3866666666666667,3.7723577235772363,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,4075526.98,Lower,False,No setup
REGAAL,EQ,REGAAL RESOURCES LIMITED,96.8,97.0,84.55,85.92,1230594,111457509.11,20260512,89.15666666666668,90.775,87.53833333333336,90.775,87.53833333333336,3.2366666666666504,3.767070142768448,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9833333333333333,60,37086669.879999995,Lower,False,No setup
AURIONPRO,EQ,AURIONPRO SOLN LTD,849.05,853.45,756.05,762.2,1099626,867722686.1,20260512,790.5666666666666,804.75,776.3833333333332,804.75,776.3833333333332,28.366666666666788,3.7216828478964556,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,146499433.375,Lower,False,No setup
ECOSMOBLTY,EQ,ECOS (INDIA) MOB & HOSP L,152.0,153.01,136.24,136.99,536647,77094466.44,20260512,142.08,144.625,139.53500000000003,144.625,139.53500000000003,5.089999999999975,3.715599678808654,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,46241973.855,Lower,False,No setup
MANAKALUCO,EQ,MANAK ALUMINIUM CO. LTD.,35.71,36.32,32.15,32.45,135756,4517908.34,20260512,33.64,34.235,33.045,34.235,33.045,1.1899999999999977,3.6671802773497615,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.8571428571428571,21,20960541.89,Lower,False,No setup
PREMCO,EQ,PREMCO GLOBAL LTD.,451.05,451.05,386.05,396.95,14658,5889262.5,20260512,411.34999999999997,418.55,404.1499999999999,418.55,404.1499999999999,14.400000000000091,3.6276609144728784,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,16,246852.6,Lower,False,No setup
TTKPRESTIG,EQ,TTK PRESTIGE LTD,522.9,597.55,517.05,528.7,14367833,8060651484.75,20260512,547.7666666666667,557.3,538.2333333333333,557.3,538.2333333333333,19.066666666666606,3.606329991803784,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,34424922.05,Higher,False,No setup
MMWL,EQ,MEDIA MATRIX WORLDWIDE L,15.02,15.02,13.52,13.54,142823,1992803.54,20260512,14.026666666666666,14.27,13.783333333333331,14.27,13.783333333333331,0.48666666666666814,3.5942885278188195,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9375,16,385009.95,Lower,False,No setup
PPAP,EQ,PPAP AUTOMOTIVE LIMITED,238.0,238.79,210.35,213.15,125300,28195283.34,20260512,220.76333333333332,224.57,216.95666666666665,224.57,216.95666666666665,7.613333333333344,3.5718195324106703,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9833333333333333,60,2580576.12,Lower,False,No setup
KRISHNADEF,EQ,KRISHNA DEF AND ALD IND L,1281.0,1299.0,1132.5,1154.0,233327,281959328.6,20260512,1195.1666666666667,1215.75,1174.5833333333335,1215.75,1174.5833333333335,41.166666666666515,3.567302137492766,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,129467724.475,Lower,False,No setup
