SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
FORTIS,EQ,FORTIS HEALTHCARE LTD,1000.0,1002.0,977.7,980.15,1246775,1226940175.05,20260615,1002.0,986.1,990.35,992.8166666666666,994.05,991.5833333333333,994.05,991.5833333333333,2.466666666666697,0.24907019403914749,Narrow,Bearish,Below CPR,Cash Only,Healthcare,True,False,True,0.2833333333333333,60,1298717161.0749998,False,False,Higher,True,Risk On,False,None,26.06785714285713,929.315,901.563,0.09462483445220927,0.9447323958008015,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
CHEMPLASTS,EQ,CHEMPLAST SANMAR LIMITED,206.01,207.8,200.1,201.22,209021,42691080.62,20260615,209.9,197.49,202.94,203.4433333333333,203.695,203.1916666666666,203.695,203.1916666666666,0.5033333333333871,0.2480207614730399,Narrow,Bearish,Below CPR,Cash Only,Chemicals & Fertilizers,False,False,True,0.2833333333333333,60,57850577.205,False,False,Higher,True,Risk On,False,Bullish Virgin,10.680714285714288,229.44639999999998,248.31470000000002,0.04712543748189272,0.7379542725860689,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
BRNL,EQ,BHARAT ROAD NETWORK LTD,19.69,19.9,18.39,18.74,81521,1565643.69,20260615,19.49,18.67,19.01,19.05666666666667,19.08,19.03333333333334,19.08,19.03333333333334,0.04666666666665975,0.24548483254423853,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.26666666666666666,60,842947.8,False,False,Higher,True,Risk On,False,None,0.9257142857142845,20.2638,19.9473,0.05041152263373745,1.8573435864000118,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ONGC,EQ,OIL AND NATURAL GAS CORP.,248.05,248.3,242.8,243.65,25211118,6158414072.15,20260615,250.85,243.35,246.2,246.79999999999998,247.1,246.49999999999997,247.1,246.49999999999997,0.6000000000000227,0.24370430544273874,Narrow,Bearish,Below CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,True,0.35,60,4144681259.2,False,False,Lower,True,Risk On,False,Bearish Virgin,7.303571428571426,281.848,274.4273,0.08215158924205693,1.4858595117489657,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ASIANENE,EQ,ASIAN ENERGY SERVICES LTD,368.0,373.85,361.5,363.45,340786,125151477.35,20260615,371.9,362.85,366.2,366.98333333333335,367.375,366.5916666666667,367.375,366.5916666666667,0.783333333333303,0.2139086109593946,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.16666666666666666,60,63439325.6,False,False,Higher,True,Risk On,True,None,19.964285714285705,323.1684,298.5397,0.03923673225998658,1.9727743976836978,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
APCOTEXIND,EQ,APCOTEX INDUSTRIES LIMITE,535.0,579.0,513.1,518.15,486019,265984847.8,20260615,541.9,519.8,529.3,530.3333333333333,530.8499999999999,529.8166666666666,530.8499999999999,529.8166666666666,1.033333333333303,0.19522639964732724,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.3,60,20239152.175,True,False,Higher,True,Risk On,False,None,28.021428571428572,450.63,405.042,0.03687654006287597,13.142094367399064,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
IRCTC,EQ,INDIAN RAIL TOUR CORP LTD,529.5,529.85,517.0,517.95,1350345,704618655.55,20260615,525.65,520.05,521.35,522.3499999999999,522.8499999999999,521.8499999999999,522.8499999999999,521.8499999999999,1.0,0.19180972475304497,Narrow,Bearish,Below CPR,Cash Only,Consumer Services,True,False,True,0.21666666666666667,60,660311206.725,False,False,Higher,True,Risk On,True,None,13.017857142857148,536.415,561.43,0.07681755829903975,1.067100858464534,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
AFSL,EQ,ABANS FINANCIAL SRVCS LTD,201.95,203.34,201.0,201.01,8955,1802129.9,20260615,202.16,201.0,201.01,201.39,201.57999999999998,201.2,201.57999999999998,201.2,0.37999999999999545,0.18904532112829983,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.43333333333333335,60,3181919.355,False,False,Overlapping,True,Risk On,False,None,1.5464285714285697,202.109,201.918,0.24572748267898117,0.566365673965989,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
AARNAV,EQ,AARNAV FASHIONS LIMITED,24.64,25.4,24.5,24.69,318953,7958601.35,20260615,25.5,24.6,24.98,25.026666666666667,25.05,25.003333333333334,25.05,25.003333333333334,0.046666666666666856,0.18681611956231728,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.13333333333333333,60,874451.4199999999,False,False,Overlapping,True,Risk On,True,None,1.4192857142857136,23.711799999999997,,0.0328803891964437,9.101250415946492,True,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
CARYSIL,EQ,CARYSIL LIMITED,1206.0,1224.0,1164.9,1173.2,162338,194572004.9,20260615,1199.9,1164.5,1178.9,1181.1000000000001,1182.2,1180.0000000000002,1182.2,1180.0000000000002,2.199999999999818,0.1866146407668011,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.18333333333333332,60,83799447.825,True,True,Inside,True,Risk On,True,None,61.15714285714288,966.077,910.482,0.03597290352721028,2.3218769329641464,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
