SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
INVENTURE,EQ,INVENTURE GRO & SEC LTD,0.96,0.98,0.96,0.97,836837,814596.55,20260601,0.97,0.97,0.9700000000000002,0.9700000000000002,0.97,2.220446049250313e-16,2.2891196384023853e-14,Narrow,Bullish,Inside CPR,Cash Only,Diversified,False,False,0.3571428571428571,7,814596.55,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CHEMPLASTS,EQ,CHEMPLAST SANMAR LIMITED,220.25,222.62,214.0,218.32,3925270,857256037.45,20260601,218.31333333333336,218.31,218.31666666666672,218.31666666666672,218.31,0.0066666666667174,0.0030536215952351,Narrow,Bullish,Above CPR,Cash Only,Chemicals & Fertilizers,True,False,0.1428571428571428,7,90538482.62,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NACLIND,EQ,NACL INDUSTRIES LIMITED,157.65,161.4,154.1,157.76,231268,36329906.38,20260601,157.75333333333333,157.75,157.75666666666666,157.75666666666666,157.75,0.0066666666666606,0.0042258282623355,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,39492398.12,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NIACL,EQ,THE NEW INDIA ASSU CO LTD,157.75,159.74,154.26,157.01,389741,61145471.97,20260601,157.00333333333333,157.0,157.00666666666666,157.00666666666666,157.0,0.0066666666666606,0.0042460140543026,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.1428571428571428,7,97381167.64,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TVSHLTD,EQ,TVS HOLDINGS LIMITED,13556.0,13650.0,13160.0,13406.0,6944,92647922.0,20260601,13405.333333333334,13405.0,13405.666666666668,13405.666666666668,13405.0,0.6666666666678793,0.0049728977075032,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,37638675.0,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AIROLAM,EQ,AIRO LAM LIMITED,81.25,83.98,81.0,82.5,1011,82693.34,20260601,82.49333333333334,82.49000000000001,82.49666666666667,82.49666666666667,82.49000000000001,0.0066666666666606,0.0080808080808007,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,82693.34,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
EQUITASBNK,EQ,EQUITAS SMALL FIN BNK LTD,70.03,70.24,68.56,69.41,1606376,111388537.53,20260601,69.40333333333334,69.4,69.40666666666667,69.40666666666667,69.4,0.0066666666666606,0.0096047639629168,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,152559284.69,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CHOICEIN,EQ,CHOICE INTERNATIONAL LTD,672.95,673.9,663.0,668.55,268829,179884345.25,20260601,668.4833333333333,668.45,668.5166666666667,668.5166666666667,668.45,0.066666666666606,0.0099718295814233,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.1428571428571428,7,288884543.9,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GANDHAR,EQ,GANDHAR OIL REFINE IND L,156.48,161.1,153.97,157.56,412108,65146497.09,20260601,157.54333333333332,157.535,157.55166666666665,157.55166666666665,157.535,0.0166666666666515,0.0105779808750009,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,177882001.93,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ONESOURCE,EQ,ONESOURCE SPECL PHARMA L,1793.0,1884.0,1791.0,1837.8,406098,741567647.6,20260601,1837.6,1837.5,1837.7000000000005,1837.7000000000005,1837.5,0.2000000000002728,0.010882576994247,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.2857142857142857,7,325601852.2,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ZOTA,EQ,ZOTA HEALTH CARE LIMITED,1120.1,1136.0,1114.0,1125.2,24203,27185927.3,20260601,1125.0666666666666,1125.0,1125.1333333333332,1125.1333333333332,1125.0,0.133333333333212,0.0118497452304667,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,42851276.0,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
