SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
AROGRANITE,EQ,ARO GRANITE IND. LTD.,25.52,25.94,24.78,25.17,1072,26939.52,20260706,26.0,25.23,25.52,25.583333333333332,25.615000000000002,25.551666666666662,25.615000000000002,25.551666666666662,0.06333333333333968,0.2481713688610489,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.2,60,144382.19,True,False,Lower,True,Risk Off,True,None,1.378571428571428,25.857,25.738500000000002,0.04594127806563503,0.1865847858381979,False,False,Short,0.5,None,None,0,No active J-Curve setup.,Short,74,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.19x) (4/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
KENNAMET,EQ,KENNAMETAL INDIA LIMITED,2940.4,2940.4,2841.1,2861.9,9765,28096349.4,20260706,2978.9,2883.1,2920.2,2927.4,2931.0,2923.8,2931.0,2923.8,7.199999999999818,0.24655845490034306,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.25,53,25280702.6,False,False,Lower,True,Risk Off,True,Bearish Virgin,130.84285714285716,2891.8059999999996,,0.05502784146740771,1.1113753381205471,False,False,Short,0.5,None,None,0,No active J-Curve setup.,Short,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.11x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
BALAMINES,EQ,BALAJI AMINES LIMITED,2194.2,2239.9,2125.6,2144.7,115034,250223240.1,20260706,2248.4,2156.2,2194.2,2199.6,2202.3,2196.8999999999996,2202.3,2196.8999999999996,5.400000000000546,0.2461033634126582,Narrow,Bearish,Below CPR,Cash Only,Specialty Chemicals,False,False,True,0.1,60,353130513.3,True,True,Inside,True,Risk Off,True,None,105.28571428571432,1823.682,1450.0725,0.05128900949796989,0.7085857230565183,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
CASTROLIND,EQ,CASTROL INDIA LIMITED,184.39,185.17,184.05,184.19,595699,109807905.48,20260706,185.9,184.2,184.37,184.82333333333335,185.05,184.5966666666667,185.05,184.5966666666667,0.45333333333331893,0.2458823742112702,Narrow,Bearish,Below CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,True,0.7166666666666667,60,213365808.32,False,False,Overlapping,True,Risk Off,False,None,2.2250000000000023,183.9326,183.80810000000002,0.20374531835205323,0.5146462141455824,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SAIL,EQ,STEEL AUTHORITY OF INDIA,169.64,170.92,167.81,169.23,12787594,2166888962.61,20260706,172.86,168.15,169.88,170.29666666666665,170.505,170.0883333333333,170.505,170.0883333333333,0.4166666666666856,0.24527117180756156,Narrow,Bearish,Below CPR,Cash Only,Metals & Mining,True,False,True,0.3,60,3725565534.135,False,False,Higher,True,Risk Off,False,None,5.436428571428569,186.238,172.53119999999998,0.0766434546489765,0.5816268544348951,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
GANESHBE,EQ,GANESH BENZOPLAST LIMITED,103.35,104.08,100.5,101.33,285902,29118430.42,20260706,104.9,102.5,103.32,103.57333333333334,103.7,103.44666666666667,103.7,103.44666666666667,0.2533333333333303,0.24519292811975446,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.2,60,28558175.43,False,False,Outside,True,Risk Off,True,None,4.279285714285716,101.1176,91.52349999999998,0.05919991097757675,1.0196180246659408,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
LFIC,EQ,LAKSHMI FIN IND CORP LTD,145.47,145.47,145.0,145.01,780,113150.15,20260706,147.01,145.0,145.47,145.82666666666668,146.005,145.64833333333337,146.005,145.64833333333337,0.3566666666666265,0.24518228271576714,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.23333333333333334,60,421035.895,True,False,Lower,True,Risk Off,True,Bearish Virgin,6.360714285714288,144.5042,138.0918,0.05607336702226579,0.2687422885880074,True,True,Short,0.5,None,None,0,No active J-Curve setup.,Short,54,Mixed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.27x) (4/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
JPPOWER,EQ,JAIPRAKASH POWER VEN. LTD,17.86,17.97,17.61,17.69,34508588,613227800.82,20260706,18.0,17.73,17.8,17.843333333333334,17.865000000000002,17.821666666666665,17.865000000000002,17.821666666666665,0.043333333333336554,0.2434456928839132,Narrow,Bearish,Below CPR,Cash Only,Power,True,False,True,0.2833333333333333,60,1826066215.1100001,True,False,Lower,True,Risk Off,False,None,0.46499999999999936,18.761,17.0957,0.09318996415771315,0.33581903862290113,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ARFIN,EQ,ARFIN INDIA LIMITED,92.96,92.96,88.71,91.05,2115134,194038669.74,20260706,93.88,90.91,92.06,92.28333333333335,92.395,92.1716666666667,92.395,92.1716666666667,0.22333333333330074,0.24259540879133257,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.18333333333333332,60,191744860.47,True,True,Higher,True,Risk Off,True,None,4.915000000000001,92.4056,85.5446,0.045439131909115096,1.0119628200952948,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
IGPL,EQ,I G PETROCHEMICALS LTD,458.85,458.85,436.05,438.6,28994,12831779.25,20260706,461.85,450.6,454.6,455.6833333333334,456.225,455.14166666666677,456.225,455.14166666666677,1.0833333333332575,0.23830473676490485,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.15,60,13930969.274999999,False,False,Higher,True,Risk Off,True,None,16.22857142857142,441.427,403.981,0.06675469483567611,0.9210973764063521,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
