SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
BLBLIMITED,EQ,BLB LIMITED,16.05,16.33,15.25,15.39,70094,1092641.88,20260714,16.44,15.66,16.05,16.05,16.05,16.05,16.05,16.05,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,False,0.016666666666666666,60,1243816.945,True,True,Higher,True,Risk Off,False,None,0.9942857142857146,15.8748,15.253800000000002,0.0,0.8784587510182215,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD,1158.1,1174.8,1151.3,1161.2,77318,89950654.4,20260714,1175.0,1145.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,0.0,0.0,Narrow,Neutral,Above CPR,Cash Only,Diversified,False,False,False,0.025,60,87532723.15,True,True,Higher,True,Risk Off,False,None,39.70000000000001,1085.612,1029.1,0.0,1.0276231695186329,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
GLOBE,EQ,GLOBE ENTERPRISE (I) LTD,2.11,2.16,2.11,2.15,114480,245425.56,20260714,2.18,2.12,2.15,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,False,0.08333333333333333,60,583124.25,True,True,Higher,True,Risk Off,False,None,0.08642857142857142,2.3198,2.4135,0.0,0.42088038698442054,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
RSDFIN,EQ,R S D FINANCE LTD.,80.0,80.0,80.0,80.0,3,240.0,20260714,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,False,0.09615384615384616,53,12139.12,True,True,Inside,True,Risk Off,False,None,3.797857142857143,82.7748,,0.0,0.01977079063391745,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
PCJEWELLER,EQ,PC JEWELLER LTD,9.94,10.13,9.78,9.86,375453742,3735359600.92,20260714,10.14,9.7,9.92,9.92,9.92,9.92,9.92,9.92,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Consumer & Retail,False,False,False,0.016666666666666666,60,377812318.17499995,True,True,Lower,True,Risk Off,False,None,0.6328571428571431,9.0538,9.0952,0.0,9.886812634811468,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SONAL,EQ,SONAL MERCANTILE LTD.,90.5,90.5,90.2,90.22,91,8210.3,20260714,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,False,0.20512820512820512,40,1880.42,True,True,Lower,True,Risk Off,False,Bearish Virgin,2.8700000000000006,,,0.0,4.366205422192913,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
VIVIDHA,EQ,VISAGAR POLYTEX LTD,0.52,0.52,0.51,0.51,125162,64090.22,20260714,0.53,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,False,0.075,60,143250.41999999998,True,True,Lower,True,Risk Off,False,Bearish Virgin,0.027857142857142865,0.5354000000000001,0.5494,0.0,0.4473998749881502,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
GREENPOWER,EQ,ORIENT GREEN POWER CO LTD,10.14,10.18,9.96,9.99,1935425,19425715.14,20260714,10.24,10.04,10.14,10.14,10.14,10.14,10.14,10.14,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Power & Utilities,False,False,False,0.016666666666666666,60,39344484.165,True,True,Lower,True,Risk Off,False,Bearish Virgin,0.2300000000000003,11.0946,10.517000000000001,0.0,0.4937341422125111,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SHARDUL,EQ,SHARDUL SECURITIES LTD.,44.35,44.35,44.35,44.35,13218,586218.3,20260714,40.32,40.32,40.32,40.32,40.32,40.32,40.32,40.32,0.0,0.0,Narrow,Neutral,Above CPR,Cash Only,Diversified,False,False,False,0.017241379310344827,59,75496.53,True,True,Higher,True,Risk Off,False,Bullish Virgin,3.184285714285714,29.334,,0.0,7.764837668698151,True,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
NEAGI,EQ,NEELAMALAI AGRO INDS. L,3101.0,3101.0,3055.0,3057.1,18,55112.7,20260714,3101.0,3101.0,3101.0,3101.0,3101.0,3101.0,3101.0,3101.0,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,False,0.21621621621621623,38,27223.4,True,True,Lower,True,Risk Off,False,Bearish Virgin,78.98571428571424,,,0.0,2.0244605743588235,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
