SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe
20MICRONS,20260710,204.56,209.95,190.0,198.34,184687733.01,20 MICRONS LTD,Diversified,Cash Only,20260710,199.42999999999998,199.975,198.88499999999996,199.975,198.88499999999996,1.0900000000000318,0.549561359282057,Moderate,Bearish,Below CPR,False,False,0.32608695652173914,46,97531306.055,True,True,Lower,True,Neutral,False,None,19.919999999999998,,,0.054718875502009635,1.893625139253755,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
21STCENMGM,20260710,31.45,32.0,30.6,31.89,276370.04,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20260710,31.49666666666667,31.3,31.69333333333334,31.69333333333334,31.3,0.393333333333338,1.2334065015156412,Wide,Bullish,Above CPR,False,False,0.2391304347826087,46,769168.605,False,False,Lower,True,Neutral,True,None,2.599285714285714,,,0.15132362370614816,0.35931008910588597,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
360ONE,20260710,1110.2,1154.0,1081.2,1129.0,10079194529.8,360 ONE WAM LIMITED,Financial Services,Cash Only,20260710,1121.3999999999999,1117.6,1125.1999999999998,1125.1999999999998,1117.6,7.599999999999909,0.6731620903454304,Moderate,Bullish,Above CPR,False,False,0.34782608695652173,46,4103073419.4,False,False,Higher,True,Neutral,False,None,79.86785714285718,,,0.09515717926932762,2.4564987022030667,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
3BBLACKBIO,20260710,1170.0,1233.9,1125.0,1148.6,60990668.5,3B BLACKBIO DX LTD.,Healthcare & Pharma,Cash Only,20260710,1169.1666666666667,1179.45,1158.8833333333334,1179.45,1158.8833333333334,20.566666666666606,1.7905856404898663,Wide,Bearish,Below CPR,False,False,0.5833333333333334,12,61231456.650000006,False,False,Overlapping,True,Neutral,False,None,,,,,0.9960675743617149,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
3IINFOLTD,20260710,17.9,19.52,17.31,18.77,88801787.68,3I INFOTECH LIMITED,Information Technology,Cash Only,20260710,18.53333333333333,18.415,18.651666666666664,18.651666666666664,18.415,0.23666666666666458,1.2608772864499977,Wide,Bullish,Above CPR,False,False,0.5869565217391305,46,32924703.935,False,False,Higher,True,Neutral,False,None,1.2014285714285717,,,0.19698771304002993,2.6971172726507318,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
3MINDIA,20260710,35235.0,35500.0,33905.0,35370.0,660729335.0,3M INDIA LIMITED,Diversified,Cash Only,20260710,34925.0,34702.5,35147.5,35147.5,34702.5,445.0,1.2581283573649986,Wide,Bullish,Above CPR,False,False,0.6739130434782609,46,597586345.0,False,False,Overlapping,True,Neutral,False,None,1945.7142857142858,,,0.22870778267254038,1.1056633748885276,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
3PLAND,20260710,33.5,33.5,31.5,31.9,506518.02,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20260710,32.300000000000004,32.5,32.10000000000001,32.5,32.10000000000001,0.3999999999999915,1.253918495297779,Wide,Bearish,Below CPR,False,False,0.45652173913043476,46,797672.105,False,False,Inside,True,Neutral,False,None,3.6778571428571434,,,0.10875898232666303,0.6349952779156042,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
5PAISA,20260710,384.0,392.95,361.05,365.75,121683539.05,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20260710,373.25,377.0,369.5,377.0,369.5,7.5,2.050580997949419,Wide,Bearish,Below CPR,False,False,0.6521739130434783,46,84484354.7,False,False,Overlapping,True,Neutral,False,None,31.784999999999997,,,0.23596035865974518,1.4403085575085772,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
63MOONS,20260710,660.5,734.6,650.0,678.6,1374397196.9,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20260710,687.7333333333332,692.3,683.1666666666665,692.3,683.1666666666665,9.13333333333344,1.3459082424599822,Wide,Bearish,Below CPR,False,False,0.5217391304347826,46,449119756.9,False,False,Higher,True,Neutral,False,None,71.72857142857143,,,0.12733187280090436,3.0602020414034476,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
A2ZINFRA,20260710,14.28,14.38,13.45,13.57,9053408.54,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20260710,13.799999999999999,13.915,13.684999999999999,13.915,13.684999999999999,0.23000000000000043,1.6949152542372912,Wide,Bearish,Below CPR,False,False,0.5925925925925926,27,15130807.780000001,False,False,Lower,True,Neutral,False,None,1.6678571428571425,,,0.13790149892933648,0.5983427105568582,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
