SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
MOREPENLAB,EQ,MOREPEN LAB. LTD,80.3,82.89,78.92,80.25,36485619,2952970779.21,20260807,83.5,75.11,79.42,79.34333333333335,79.305,79.38166666666669,79.38166666666669,79.305,0.0766666666666822,0.09653319902629337,Narrow,Bullish,Above CPR,Cash Only,Healthcare & Pharma,False,True,False,0.08333333333333333,60,384106569.875,True,True,Higher,True,Risk Off,True,Bullish Virgin,4.193571428571429,55.956199999999995,48.3484,0.018281950831775688,7.687894482437483,True,True,Long,0.5,None,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹79.38) with massive 7.7x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹79.38 with stop below Pivot (₹79.34).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (7.69x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MOTHERSON,EQ,SAMVRDHNA MTHRSN INTL LTD,155.17,169.8,155.17,168.5,115582755,19270204359.21,20260807,157.99,151.61,155.0,154.86666666666667,154.8,154.93333333333334,154.93333333333334,154.8,0.13333333333332575,0.0860215053763392,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,True,False,0.13333333333333333,60,2553236249.87,True,True,Higher,True,Risk Off,True,Bullish Virgin,5.41642857142857,146.21800000000002,134.1641,0.02461646665787368,7.547364393009522,True,True,Long,0.5,None,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹154.93) with massive 7.5x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹154.93 with stop below Pivot (₹154.87).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (7.55x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
PTC,EQ,PTC INDIA LIMITED,201.0,204.2,195.4,203.3,12883295,2587586862.37,20260807,201.52,198.12,200.17,199.93666666666664,199.82,200.05333333333328,200.05333333333328,199.82,0.23333333333329165,0.11656758422005878,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.13333333333333333,60,140216038.66,True,True,Higher,True,Risk Off,True,None,5.580714285714281,180.07480000000004,182.7285,0.04181065745124902,18.45428587983759,True,True,Long,0.5,None,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹200.05) with massive 18.5x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹200.05 with stop below Pivot (₹199.94).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (18.45x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MGL,EQ,MAHANAGAR GAS LTD.,1128.0,1144.0,1116.0,1139.6,531620,603534281.9,20260807,1133.3,1108.1,1123.7,1121.6999999999998,1120.6999999999998,1122.6999999999998,1122.6999999999998,1120.6999999999998,2.0,0.17798344753937884,Narrow,Bullish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,True,False,0.3333333333333333,60,182881955.10000002,True,False,Higher,True,Risk Off,False,None,32.535714285714285,1121.97,1091.0114999999998,0.06147091108671789,3.3001303030142415,True,True,No setup,0.0,None,Liftoff,93,"🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹1,122.70) with massive 3.3x volume surge. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹1,122.70 with stop below Pivot (₹1,121.70).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
WEL,EQ,WONDER ELECTRICALS LTD,123.5,133.7,121.11,129.7,1103125,142214573.82,20260807,123.46,115.64,120.3,119.8,119.55,120.05,120.05,119.55,0.5,0.41562759767248547,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.5666666666666667,60,13959236.030000001,True,False,Higher,True,Risk Off,False,Bullish Virgin,6.1549999999999985,102.1134,103.4928,0.08123476848090985,10.187847924797929,True,True,No setup,0.0,None,Liftoff,92,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹120.05) with massive 10.2x volume surge. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹120.05 with stop below Pivot (₹119.80).,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
IRISDOREME,EQ,IRIS CLOTHINGS LIMITED,54.0,54.8,53.6,54.52,697721,37803281.92,20260807,54.5,53.4,54.02,53.973333333333336,53.95,53.99666666666667,53.99666666666667,53.95,0.046666666666666856,0.08638775762063468,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.1,60,12718521.23,False,False,Higher,True,Risk Off,True,Bullish Virgin,2.218571428571427,43.2464,38.469300000000004,0.02103455677183955,2.972301672212564,True,True,Long,0.5,None,Liftoff,90,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹54.00) with strong 3.0x volume (60D Narrow CPR). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹54.00 with stop below Pivot (₹53.97).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.97x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SKYGOLD,EQ,SKY GOLD AND DIAMONDS LTD,691.1,728.4,689.6,719.4,2030660,1447820517.7,20260807,700.0,678.6,691.15,689.9166666666666,689.3,690.5333333333333,690.5333333333333,689.3,1.2333333333333485,0.1784465504352671,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.11666666666666667,60,536926588.325,True,False,Higher,True,Risk Off,True,Bullish Virgin,28.946428571428562,584.0120000000001,497.80350000000004,0.042607443964631425,2.6964962234718737,True,True,Long,0.5,None,Liftoff,88,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹690.53) with strong 2.7x volume (60D Narrow CPR). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹690.53 with stop below Pivot (₹689.92).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.70x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
THEJO,EQ,THEJO ENGINEERING LIMITED,2171.0,2249.5,2159.2,2223.9,20207,44710756.6,20260807,2186.3,2088.3,2159.1,2144.566666666667,2137.3,2151.833333333334,2151.833333333334,2137.3,14.533333333333758,0.6731199728282042,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.6333333333333333,60,9127467.15,True,False,Higher,True,Risk Off,False,Bullish Virgin,92.93571428571431,1821.318,1751.7559999999999,0.15638049855251138,4.8984845264548555,True,True,No setup,0.0,None,Liftoff,88,"🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹2,151.83) with massive 4.9x volume surge. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹2,151.83 with stop below Pivot (₹2,144.57).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
FOSECOIND,EQ,FOSECO INDIA LTD,5424.0,5573.5,5395.5,5500.5,4888,26931177.5,20260807,5495.0,5286.0,5409.0,5396.666666666667,5390.5,5402.833333333334,5402.833333333334,5390.5,12.33333333333394,0.22801503666729414,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.18333333333333332,60,10508476.3,False,False,Higher,True,Risk Off,True,Bullish Virgin,174.78571428571428,5107.602,4985.088,0.07056259365209447,2.5628051804237306,True,True,Long,0.5,None,Liftoff,87,"🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹5,402.83) with strong 2.6x volume (60D Narrow CPR). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹5,402.83 with stop below Pivot (₹5,396.67).",Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.56x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
THELEELA,EQ,LEELA PALACES HOTEL LTD,513.0,527.0,509.1,518.0,495564,257071964.95,20260807,523.5,498.3,511.0,510.93333333333334,510.9,510.9666666666667,510.9666666666667,510.9,0.06666666666671972,0.013046314416187811,Narrow,Bullish,Above CPR,Cash Only,Consumer Services,True,True,False,0.03333333333333333,60,110231880.725,False,False,Higher,True,Risk Off,True,Bullish Virgin,17.58571428571429,469.80300000000005,444.3225,0.0037909558624454748,2.3321017772646733,True,True,Long,0.5,None,Liftoff,85,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹510.97) with strong 2.3x volume (60D Narrow CPR). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹510.97 with stop below Pivot (₹510.93).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.33x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
