TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score,JCurve_Stage,JCurve_Score,JCurve_Explanation
2026-08-28,2026-08-28,CM,NSE,STK,23507,INE899L01030,UEL,EQ,,,,,UJAAS ENERGY LIMITED,189.33,189.33,189.33,189.33,189.33,180.32,,194.02,,,2841,537886.53,43,F1,1,,,,,,Cash Only,Diversified,False,189.33,189.33,189.33,189.33,189.33,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.0916666666666666,60,905049.855,Higher,True,Neutral,False,12.060000000000002,162.95,156.7311,0.0,0.5943170169338351,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,8833,INE425B01027,BCG,EQ,,,,,BRIGHTCOM GROUP LIMITED,9.01,9.09,9.01,9.05,9.07,9.03,,9.05,,,2448110,22136045.5,2938,F1,1,,,,,,Cash Only,Diversified,False,9.05,9.05,9.05,9.05,9.05,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.0166666666666666,60,49446319.23,Inside,True,Neutral,False,0.3064285714285716,9.5744,10.1047,0.0,0.4476783276230124,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,17197,INE551D01018,PAKKA,EQ,,,,,PAKKA LIMITED,78.55,79.69,77.07,78.38,78.2,77.64,,78.39,,,85729,6736603.05,2558,F1,1,,,,,,Cash Only,Diversified,False,78.38,78.38,78.38,78.38,78.38,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,4044403.09,Inside,True,Neutral,False,5.6592857142857165,76.4906,83.8435,0.0,1.6656606426438074,True,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,12490,INE01KI01027,VINNY,EQ,,,,,VINNY OVERSEAS LIMITED,1.05,1.06,1.04,1.05,1.05,1.04,,1.05,,,210648,221911.45,109,F1,1,,,,,,Cash Only,Diversified,False,1.05,1.05,1.05,1.05,1.05,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.0666666666666666,60,297600.55000000005,Inside,True,Neutral,False,0.0207142857142857,1.0816,1.1111,0.0,0.7456688168083022,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,8341,INE526B01014,CALSOFT,EQ,,,,,CALIFORNIA SOFTWARE CO LT,35.5,35.5,35.5,35.5,35.5,33.81,,35.5,,,90695,3219672.5,238,F1,1,,,,,,Cash Only,Information Technology,False,35.5,35.5,35.5,35.5,35.5,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.0583333333333333,60,685792.51,Higher,True,Neutral,False,1.7835714285714286,16.636999999999997,15.4981,0.0,4.694820157776293,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,7835,INE02WG01024,WEL,EQ,,,,,WONDER ELECTRICALS LTD,99.8,99.8,99.8,99.8,99.8,124.74,,99.8,,,1368633,136589573.4,5645,F1,1,,,,,,Cash Only,Diversified,False,99.8,99.8,99.8,99.8,99.8,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,18802065.72,Lower,True,Neutral,False,14.741428571428573,115.2704,106.0203,0.0,7.264604614944406,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,765010,INE290E01011,YOGI,EQ,,,,,YOGI LTD.,165.4,165.4,165.4,165.4,165.4,165.38,,164.5,,,513,84850.2,6,F1,1,,,,,,Cash Only,Diversified,False,165.4,165.4,165.4,165.4,165.4,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.2222222222222222,9,168970.75,Higher,False,Neutral,False,,,,,0.5021591015012953,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,1565,INE09E501017,RVHL,EQ,,,,,RAVINDER HEIGHTS LIMITED,39.78,39.78,39.0,39.39,39.4,39.78,,39.39,,,21366,844095.92,80,F1,1,,,,,,Cash Only,Diversified,False,39.39,39.39,39.39,39.39,39.39,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.0166666666666666,60,596147.4850000001,Lower,True,Neutral,False,2.4057142857142857,44.247600000000006,42.8433,0.0,1.4159179418495742,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,29877,INE370E01029,VIVIDHA,EQ,,,,,VISAGAR POLYTEX LTD,0.52,0.53,0.51,0.52,0.52,0.52,,0.52,,,118614,62051.17,136,F1,1,,,,,,Cash Only,Diversified,False,0.52,0.52,0.52,0.52,0.52,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.075,60,117310.04,Higher,True,Neutral,False,0.0371428571428571,0.5278,0.5417000000000001,0.0,0.5289502075014211,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,17053,INE0ECP01024,HMAAGRO,EQ,,,,,HMA AGRO INDUSTRIES LTD,21.07,21.22,20.72,20.97,21.0,20.9,,20.97,,,1054199,22089697.52,2237,F1,1,,,,,,Cash Only,Chemicals & Fertilizers,False,20.97,20.97,20.97,20.97,20.97,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.0166666666666666,60,10164049.385,Inside,True,Neutral,False,1.4328571428571428,21.732,22.7502,0.0,2.173316626402834,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,Ready,67,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (2.2x volume). Coiling inside band (₹20.97 - ₹20.97), closed above Central Pivot (₹20.97). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹20.97)."
