SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260814,190.01,193.0,182.0,190.9,117934117.81,20 MICRONS LTD,20260814,188.63333333333333,187.5,189.76666666666665,189.76666666666665,187.5,2.2666666666666515,1.1873581281648253,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.5925925925925926,54,101760645.56,Lower,True,Risk Off,False,19.527142857142856,190.62080000000003,,0.11607774282439506,1.1589364155562851,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
21STCENMGM,20260814,43.37,44.35,41.47,44.05,3324615.37,21ST CENTURY MGMT SERVICE,20260814,43.29,42.91,43.67,43.67,42.91,0.7600000000000051,1.7253121452894555,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.3333333333333333,54,852249.3200000001,Overlapping,True,Risk Off,False,2.8464285714285724,39.8904,,0.267001254705146,3.9009891729805073,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
360ONE,20260814,1170.0,1191.5,1140.0,1180.0,3246943873.6,360 ONE WAM LIMITED,20260814,1170.5,1165.75,1175.25,1175.25,1165.75,9.5,0.8050847457627118,Wide,Bullish,Above CPR,Financial Services,True,False,False,0.5,54,4204989162.45,Outside,True,Risk Off,False,65.62142857142861,1101.365,,0.14476978338957214,0.7721646235369122,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
3BBLACKBIO,20260814,1254.8,1283.0,1140.0,1174.6,64368922.400000006,3B BLACKBIO DX LTD.,20260814,1199.2,1211.5,1186.9,1211.5,1186.9,24.59999999999991,2.094329984675627,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.7058823529411765,17,60990668.5,Lower,True,Risk Off,False,139.67857142857147,,,0.17611863973408265,1.055389684735133,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
3IINFOLTD,20260814,25.75,27.8,25.14,26.93,193361865.07999998,3I INFOTECH LIMITED,20260814,26.623333333333335,26.47,26.77666666666667,26.77666666666667,26.47,0.30666666666667197,1.138754796385711,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.5555555555555556,54,33684450.685,Higher,True,Risk Off,False,1.6021428571428573,17.8368,,0.1914103135681412,5.740389442245108,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
3MINDIA,20260814,36280.0,37300.0,35000.0,35340.0,1176932150.0,3M INDIA LIMITED,20260814,35880.0,36150.0,35610.0,36150.0,35610.0,540.0,1.5280135823429541,Wide,Bearish,Below CPR,Diversified,True,False,False,0.7962962962962963,54,635024342.5,Outside,True,Risk Off,False,1926.7857142857142,33224.3,,0.280259499536608,1.8533654085866795,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
3PLAND,20260814,31.5,32.9,31.47,32.18,2534389.14,3P LAND HOLDINGS LIMITED,20260814,32.18333333333334,32.185,32.18166666666667,32.185,32.18166666666667,0.0033333333333303017,0.010358400662928223,Narrow,Bearish,Below CPR,Unclassified,False,False,True,0.037037037037037035,54,829997.97,Inside,True,Risk Off,True,2.9528571428571437,36.0914,,0.0011288501854529321,3.053488359736591,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
5PAISA,20260814,363.65,408.35,363.65,383.8,147790714.25,5PAISA CAPITAL LIMITED,20260814,385.26666666666665,386.0,384.5333333333333,386.0,384.5333333333333,1.466666666666697,0.3821434775056532,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.12962962962962962,54,82420995.5,Higher,True,Risk Off,True,32.07142857142857,331.9556,,0.04573125463994156,1.7931197427723378,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
63MOONS,20260814,859.0,880.0,776.0,786.25,1727702900.0,63 MOONS TECHNOLOGIES LTD,20260814,814.0833333333334,828.0,800.1666666666667,828.0,800.1666666666667,27.833333333333258,3.540010598834119,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8333333333333334,54,498675850.875,Lower,True,Risk Off,False,82.60714285714286,714.22,,0.33693615794783016,3.464581043915585,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
A2ZINFRA,20260814,17.2,17.38,14.58,14.72,46269149.44,A2Z INFRA ENGINEERING LTD,20260814,15.56,15.98,15.14,15.98,15.14,0.8399999999999999,5.706521739130434,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.9375,32,16336114.440000001,Lower,True,Risk Off,False,1.8499999999999999,,,0.454054054054054,2.832322802949218,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
