TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,NEXT_Pivot,NEXT_BC,NEXT_TC,NEXT_CPR_Top,NEXT_CPR_Bottom,NEXT_CPR_Width,NEXT_CPR_Width_Pct,NEXT_CPR_Class,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-09,2026-09-09,CM,NSE,STK,8696,INE366I01010,VRLLOG,EQ,,,,,VRL LOGISTICS LIMITED,294.95,294.95,287.2,288.35,289.7,293.75,,288.37,,,119096,34502193.8,5490,F1,1,,,,,,Cash Only,Diversified,False,296.9,292.8,293.75,294.48333333333335,294.85,294.1166666666667,294.85,294.1166666666667,0.7333333333333485,0.24964539007092715,Narrow,Bearish,Below CPR,290.1666666666667,291.075,289.2583333333334,291.075,289.2583333333334,1.816666666666606,0.6300213860470283,Moderate,False,True,0.6333333333333333,60,37224958.21,False,False,Lower,True,Risk Off,False,None,7.424999999999991,268.9394,256.9998,0.09876543209876759,0.926856481755067,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,23693,INE065X01017,INDGN,EQ,,,,,INDEGENE LIMITED,589.2,591.0,580.85,586.35,586.95,589.2,,586.36,,,239296,140093060.35,13203,F1,1,,,,,,Cash Only,Healthcare,True,603.6,579.2,589.2,590.6666666666667,591.4000000000001,589.9333333333334,591.4000000000001,589.9333333333334,1.466666666666697,0.24892509617561046,Narrow,Bearish,Below CPR,586.0666666666666,585.925,586.2083333333333,586.2083333333333,585.925,0.283333333333303,0.048321537193366244,Narrow,False,True,0.25,60,148211634.3,False,False,Lower,True,Risk Off,True,None,16.54642857142856,541.77,528.6195,0.08863947046550301,0.9452230994662204,True,True,Short,0.5,None,None,0,No active J-Curve setup.,Short,68,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.95x) (12/20); Higher timeframe: aligned (-2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,-2,0,0,-2
2026-09-09,2026-09-09,CM,NSE,STK,30023,INE951D01028,ATULAUTO,EQ,,,,,ATUL AUTO LIMITED,458.3,460.0,455.0,456.1,457.0,458.9,,456.12,,,46298,21127210.5,2147,F1,1,,,,,,Cash Only,Automobile & Ancillary,False,463.9,457.3,458.9,460.0333333333333,460.6,459.4666666666666,460.6,459.4666666666666,1.1333333333334394,0.24696738577760724,Narrow,Bearish,Below CPR,457.0333333333333,457.5,456.5666666666666,457.5,456.5666666666666,0.933333333333394,0.20463348680846172,Narrow,False,True,0.4,60,42706886.849999994,False,False,Lower,True,Risk Off,False,None,10.51785714285713,494.485,486.5165,0.10775325410300965,0.4947026594142861,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,756324,INE0FFK01017,NPST,EQ,,,,,NETWORK PEOPLE SRV TECH L,1743.4,1745.0,1621.0,1680.5,1675.0,1716.5,,1680.53,,,71432,118521606.2,7061,F1,1,,,,,,Cash Only,Diversified,False,1753.5,1692.2,1716.5,1720.7333333333333,1722.85,1718.6166666666668,1722.85,1718.6166666666668,4.233333333333121,0.24662588600833799,Narrow,Bearish,Below CPR,1682.1666666666667,1683.0,1681.3333333333335,1683.0,1681.3333333333335,1.666666666666515,0.09917683229196757,Narrow,False,True,0.7666666666666667,60,45226594.9,False,False,Lower,True,Risk Off,False,None,75.17857142857144,1600.7059999999997,1457.889,0.05631037212984673,2.6206175030877685,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,19061,INE522D01027,MANAPPURAM,EQ,,,,,MANAPPURAM FINANCE LTD,323.0,328.0,312.3,320.0,320.0,325.0,,320.01,,,6844403,2180294378.6,49437,F1,1,,,,,,Cash Only,Financial Services,True,329.0,323.4,325.0,325.8,326.2,325.40000000000003,326.2,325.40000000000003,0.7999999999999545,0.24615384615383215,Narrow,Bearish,Below CPR,320.09999999999997,320.15,320.04999999999995,320.15,320.04999999999995,0.10000000000002274,0.031250000000007105,Narrow,False,True,0.5333333333333333,60,1343431561.1,False,False,Lower,True,Risk Off,False,None,10.253571428571425,347.173,327.746,0.07802159526297017,1.622929252022915,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,9362,INE278Y01022,CAMPUS,EQ,,,,,CAMPUS ACTIVEWEAR LIMITED,217.0,218.0,214.5,214.86,214.55,216.81,,214.85,,,324376,69992218.3,7114,F1,1,,,,,,Cash Only,Footwear,False,219.02,216.2,216.81,217.34333333333333,217.61,217.07666666666665,217.61,217.07666666666665,0.5333333333333599,0.24599111357103448,Narrow,Bearish,Below CPR,215.78666666666666,216.25,215.32333333333332,216.25,215.32333333333332,0.9266666666666765,0.43128859102051403,Moderate,False,True,0.5833333333333334,60,89977917.22,False,False,Lower,True,Risk Off,False,None,4.689285714285717,224.3572,233.50060000000002,0.11373445036811933,0.7778821789002508,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,14304,INE684F01012,FSL,EQ,,,,,FIRSTSOURCE SOLU. LTD.,258.0,258.0,254.15,254.75,254.9,257.8,,254.76,,,318352,81400062.6,9257,F1,1,,,,,,Cash Only,Services,True,261.0,256.5,257.8,258.43333333333334,258.75,258.1166666666667,258.75,258.1166666666667,0.6333333333333258,0.24566847685544058,Narrow,Bearish,Below CPR,255.63333333333333,256.075,255.19166666666666,256.075,255.19166666666666,0.8833333333333258,0.346745175008175,Moderate,False,True,0.35,60,269502241.95500004,False,False,Lower,True,Risk Off,False,Bearish Virgin,7.635714285714284,269.7968,256.97880000000004,0.08294356096039815,0.30203853596732494,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,759103,INE00RL01028,HILINFRA,EQ,,,,,HIGHWAY INFRASTRUCTURE L,43.25,43.79,43.1,43.28,43.38,43.7,,43.28,,,40711,1764531.0,724,F1,1,,,,,,Cash Only,Real Estate & Infra,False,44.22,43.5,43.7,43.80666666666667,43.86,43.753333333333345,43.86,43.753333333333345,0.10666666666665492,0.24408848207472517,Narrow,Bearish,Below CPR,43.39000000000001,43.445,43.335000000000015,43.445,43.335000000000015,0.10999999999998522,0.254158964879818,Moderate,False,True,0.4,60,4672605.824999999,False,False,Lower,True,Risk Off,False,None,1.3007142857142853,46.912400000000005,50.1671,0.08200622368661006,0.37763318073165314,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,-2,0,-2
2026-09-09,2026-09-09,CM,NSE,STK,14423,INE059D01020,LAOPALA,EQ,,,,,LA OPALA RG LIMITED,170.59,170.97,166.81,167.46,168.0,169.92,,167.46,,,103970,17508339.05,2683,F1,1,,,,,,Cash Only,Diversified,False,171.78,169.3,169.92,170.33333333333334,170.54000000000002,170.12666666666667,170.54000000000002,170.12666666666667,0.4133333333333553,0.2432517263025867,Narrow,Bearish,Below CPR,168.41333333333333,168.89,167.93666666666667,168.89,167.93666666666667,0.9533333333333189,0.5692901787491454,Moderate,False,True,0.5333333333333333,60,21107147.405,False,False,Lower,True,Risk Off,False,None,5.062857142857145,182.7036,180.14170000000001,0.0816403310760013,0.8294981180570383,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,757014,INE0AQ201015,THELEELA,EQ,,,,,LEELA PALACES HOTEL LTD,540.95,545.0,528.0,531.45,534.75,542.5,,531.46,,,244629,130404916.65,15808,F1,1,,,,,,Cash Only,Consumer Services,True,550.4,538.55,542.5,543.8166666666666,544.4749999999999,543.1583333333333,544.4749999999999,543.1583333333333,1.316666666666606,0.24270353302610248,Narrow,Bearish,Below CPR,534.8166666666667,536.5,533.1333333333334,536.5,533.1333333333334,3.3666666666665606,0.633487000972163,Moderate,False,True,0.6666666666666666,60,199015318.10000002,False,False,Lower,True,Risk Off,False,None,18.825000000000014,511.56200000000007,471.43299999999994,0.06994245241256866,0.6552506505276892,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
