SYMBOL,Industry,CLOSE,CPR_Top,CPR_Bottom,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Bias,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Regime
CEIGALL,Diversified,370.3,355.675,355.425,0.07026419336706013,0.016666666666666666,Higher,Long,Bullish,Cash Only,2,Long,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.03x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk On
JINDRILL,Diversified,664.15,661.8666666666666,659.5,0.35693637986072857,0.06666666666666667,Higher,Long,Bullish,Cash Only,4,Long,92,Strong confirmation,CPR width: 0.3569% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (4.29x) (20/20); Higher timeframe: strongly aligned (+4) (20/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
RAINBOW,Healthcare,1469.9,1446.85,1446.15,0.048369264787162664,0.06666666666666667,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: confirmed (1.41x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk On
ANANDRATHI,Financial Services,2224.0,2214.7666666666664,2212.5,0.10229101794604557,0.11666666666666667,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: confirmed (1.26x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk On
RPTECH,Information Technology,853.4,823.1833333333334,822.25,0.1133167405249067,0.2,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: moderate (1.00x) (12/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk On
IOLCP,Diversified,213.04,199.54666666666668,198.74,0.4034341918813063,0.016666666666666666,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: 0.4034% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (4.04x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
GNFC,Diversified,597.9,595.2333333333333,592.3,0.4915926484554037,0.25,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: 0.4916% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (3.87x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
GLAND,Healthcare,2974.3,2924.95,2910.05,0.5081162187968775,0.16666666666666666,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: 0.5081% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.38x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
20MICRONS,Diversified,224.8,221.89333333333332,220.7,0.5363536937989698,0.06666666666666667,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: 0.5364% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.70x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
SUNDARMFIN,Financial Services,4708.3,4635.35,4608.65,0.5743541205068241,0.016666666666666666,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: 0.5744% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.09x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
RICOAUTO,Automobile & Ancillary,135.47,130.0316666666667,129.175,0.656650825284902,0.016666666666666666,Higher,Long,Bullish,Cash Only,2,Long,88,Strong confirmation,CPR width: 0.6567% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.37x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
