TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,NEXT_Pivot,NEXT_BC,NEXT_TC,NEXT_CPR_Top,NEXT_CPR_Bottom,NEXT_CPR_Width,NEXT_CPR_Width_Pct,NEXT_CPR_Class,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-24,2026-09-24,CM,NSE,STK,17695,INE159N01027,VIJIFIN,BE,,,,,VIJI FINANCE LIMITED,16.21,16.22,15.6,16.22,16.22,15.91,,16.33,,,2422961,38673048.88,531,F1,1,,,,,,Cash Only,Diversified,False,15.91,15.91,15.91,15.910000000000002,15.91,15.910000000000004,15.910000000000004,15.91,3.552713678800501e-15,2.233006712005343e-14,Narrow,Bullish,Above CPR,16.013333333333332,15.91,16.116666666666664,16.116666666666664,15.91,0.20666666666666345,1.2741471434442877,Wide,True,False,0.15,60,1199102.5899999999,True,True,Higher,True,Risk On,True,None,0.35357142857142854,6.6414,,1.0048079091556974e-14,32.25165986840209,True,False,Long,1.0,None,Liftoff,97,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹15.91) with massive 32.3x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +2 confluence. Momentum continuation target expansion above ₹15.91 with stop below Pivot (₹15.91).,Long,88,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: confirmed (32.25x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-24,2026-09-24,CM,NSE,STK,758997,INE319Z01021,SUPREMEENG,BZ,,,,,SUPREME ENGINEERING LTD,3.86,3.86,3.86,3.86,3.86,3.79,,3.86,,,190666,735970.76,101,F1,1,,,,,,Cash Only,Diversified,False,3.79,3.79,3.79,3.7900000000000005,3.79,3.790000000000001,3.790000000000001,3.79,8.881784197001252e-16,2.34347867994756e-14,Narrow,Bullish,Above CPR,3.86,3.86,3.86,3.86,3.86,0.0,0.0,Narrow,True,False,0.34375,16,1253805.6099999999,True,True,Higher,False,Risk On,False,Bullish Virgin,0.06142857142857142,,,1.4458718460234597e-14,0.5869895254336915,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,20790,INE235C01036,SUMEETINDS,EQ,,,,,SUMEET IND LIMITED,11.6,11.6,11.6,11.6,11.6,11.05,,11.6,,,332514,3857162.4,116,F1,1,,,,,,Cash Only,Diversified,False,11.05,11.05,11.05,11.050000000000002,11.05,11.050000000000004,11.050000000000004,11.05,3.552713678800501e-15,3.215125501176924e-14,Narrow,Bullish,Above CPR,11.6,11.6,11.6,11.6,11.6,0.0,0.0,Narrow,True,False,0.4,60,20614275.245,True,True,Higher,True,Risk On,False,Bullish Virgin,0.4935714285714286,17.4336,23.166999999999998,7.197972721158757e-15,0.1871112301624844,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,759461,INE06XZ01023,GEMAROMA,EQ,,,,,GEM AROMATICS LIMITED,154.2,157.6,150.25,155.18,155.99,154.94,,155.18,,,47069,7227046.44,1312,F1,1,,,,,,Cash Only,Diversified,False,157.0,152.86,154.94,154.93333333333334,154.93,154.93666666666667,154.93666666666667,154.93,0.006666666666660603,0.004302740845914937,Narrow,Bullish,Above CPR,154.34333333333333,153.925,154.76166666666666,154.76166666666666,153.925,0.8366666666666447,0.5391588263092181,Moderate,True,False,0.11666666666666667,60,15575984.989999998,True,True,Higher,True,Risk On,True,None,6.799285714285712,172.9896,181.8301,0.0009804951500498843,0.4639864794836324,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,8109,INE591A01010,OILCOUNTUB,BE,,,,,OIL COUNTRY TUBULAR LTD.,69.5,70.89,69.1,70.89,70.89,69.5,,70.69,,,39504,2793752.07,103,F1,1,,,,,,Cash Only,Energy & Oil/Gas,False,69.54,69.45,69.5,69.49666666666667,69.495,69.49833333333333,69.49833333333333,69.495,0.0033333333333303017,0.004796163069540002,Narrow,Bullish,Above CPR,70.29333333333334,69.995,70.59166666666667,70.59166666666667,69.995,0.596666666666664,0.8416795974984681,Wide,True,False,0.06666666666666667,60,2775652.675,True,True,Higher,True,Risk On,True,None,1.3050000000000013,52.55,52.287200000000006,0.002554278416345056,1.0065207708309543,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.01x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-24,2026-09-24,CM,NSE,STK,11859,INE640C01011,SHAHALLOYS,BE,,,,,SHAH ALLOYS LIMITED,91.45,92.99,90.0,92.01,92.0,91.45,,92.0,,,93988,8642952.06,151,F1,1,,,,,,Cash Only,Diversified,False,92.9,89.98,91.45,91.44333333333333,91.44,91.44666666666666,91.44666666666666,91.44,0.006666666666660603,0.007289958082734394,Narrow,Bullish,Above CPR,91.66666666666667,91.495,91.83833333333334,91.83833333333334,91.495,0.3433333333333337,0.37314784624859654,Moderate,True,False,0.9666666666666667,60,1400951.4849999999,False,False,Higher,True,Risk On,False,None,5.646428571428571,81.2282,75.6889,0.001180687328693845,6.169344301026956,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,23386,INE048C01025,VHLTD,BE,,,,,VICEROY HOTELS LIMITED,129.9,129.9,125.5,129.16,129.35,126.49,,129.16,,,23968,3080533.31,136,F1,1,,,,,,Cash Only,Diversified,False,127.94,125.0,126.49,126.47666666666667,126.47,126.48333333333335,126.48333333333335,126.47,0.013333333333349628,0.010541017735275222,Narrow,Bullish,Above CPR,128.18666666666667,127.7,128.67333333333335,128.67333333333335,127.7,0.9733333333333434,0.7535872819242362,Wide,True,False,0.875,16,4037536.3049999997,False,False,Lower,False,Risk On,False,None,5.368571428571428,,,0.0024835905623588985,0.7629735257575598,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,28906,INE040D01038,MAYURUNIQ,EQ,,,,,MAYUR UNIQUOTERS LTD,722.9,738.15,718.0,733.1,732.0,722.9,,733.14,,,71013,51824785.3,4258,F1,1,,,,,,Cash Only,Diversified,False,734.1,711.4,722.9,722.8000000000001,722.75,722.8500000000001,722.8500000000001,722.75,0.10000000000013642,0.013833171946346165,Narrow,Bullish,Above CPR,729.75,728.075,731.425,731.425,728.075,3.349999999999909,0.45696357932068055,Moderate,True,False,0.95,60,67559574.225,False,False,Lower,True,Risk On,False,None,28.421428571428578,761.298,754.9675,0.0035184719778886897,0.7670975712103076,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,762919,INE321M01017,SONAL,EQ,,,,,SONAL MERCANTILE LTD.,87.5,87.7,87.5,87.7,87.7,83.55,,87.7,,,203,17783.1,8,F1,1,,,,,,Cash Only,Diversified,False,83.55,83.5,83.55,83.53333333333335,83.525,83.54166666666669,83.54166666666669,83.525,0.01666666666667993,0.019948134849407457,Narrow,Bullish,Above CPR,87.63333333333333,87.6,87.66666666666666,87.66666666666666,87.6,0.06666666666666288,0.0760167236792051,Narrow,True,False,0.1271186440677966,60,4872.775,True,True,Lower,True,Risk On,True,Bullish Virgin,2.577142857142856,89.73639999999999,,0.00646711012565186,3.6494810451949866,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,4717,INE129A01019,GAIL,EQ,,,,,GAIL (INDIA) LTD,172.1,173.85,171.84,173.85,173.85,172.95,,173.85,,,6183667,1068670958.87,37105,F1,1,,,,,,F&O + Cash,Oil Gas & Consumable Fuels,True,173.79,172.0,172.95,172.91333333333333,172.89499999999998,172.93166666666667,172.93166666666667,172.89499999999998,0.03666666666669016,0.02120073238895066,Narrow,Bullish,Above CPR,173.17999999999998,172.845,173.51499999999996,173.51499999999996,172.845,0.6699999999999591,0.38538970376759224,Moderate,True,False,0.7833333333333333,60,1069232318.625,False,False,Overlapping,True,Risk On,False,None,2.743571428571426,173.81219999999996,171.07010000000002,0.0133645751974398,0.9994749880402775,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
