TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-01,2026-09-01,CM,NSE,STK,3807,INE505Y01010,VINEETLAB,EQ,,,,,VINEET LABORATORIES LTD,39.0,39.0,36.92,37.95,37.99,38.86,,37.95,,,319286,12080330.24,606,F1,1,,,,,,Cash Only,Unclassified,False,37.95666666666667,37.96,37.95333333333334,37.96,37.95333333333334,0.006666666666660603,0.017566974088697243,Narrow,Bearish,Below CPR,False,True,0.016666666666666666,60,3337472.8049999997,Lower,True,Risk Off,True,2.2007142857142847,34.351800000000004,33.7042,0.003029319485012934,3.6196040974182564,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,7242,INE317I01021,METROBRAND,EQ,,,,,METRO BRANDS LIMITED,919.6,924.9,910.0,917.95,920.0,919.6,,917.95,,,20767,19062651.8,3797,F1,1,,,,,,Cash Only,Unclassified,False,917.6166666666668,917.45,917.7833333333335,917.7833333333335,917.45,0.3333333333334849,0.036312798445828735,Narrow,Bullish,Above CPR,True,False,0.1,60,28370755.7,Lower,True,Risk Off,True,21.542857142857127,1000.821,1018.461,0.015473032714419072,0.6719120210111288,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,760039,INE0QPI01025,SUDEEPPHRM,EQ,,,,,SUDEEP PHARMA LIMITED,1222.7,1263.0,1196.9,1230.9,1239.8,1209.7,,1230.66,,,331374,409661509.3,20082,F1,1,,,,,,Cash Only,Unclassified,False,1230.2666666666667,1229.95,1230.5833333333333,1230.5833333333333,1229.95,0.6333333333332121,0.05145286646626143,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,189140058.6,Higher,True,Risk Off,True,50.89285714285719,948.7080000000001,825.9654999999999,0.01244444444444205,2.1659161593386544,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,759934,INE04VU01023,STYL,EQ,,,,,SESHAASAI TECHNOLOGIES L,387.0,391.45,381.1,386.8,386.4,385.8,,386.73,,,59704,23017440.45,2643,F1,1,,,,,,Cash Only,Unclassified,False,386.45,386.275,386.625,386.625,386.275,0.35000000000002274,0.09048603929680009,Narrow,Bullish,Above CPR,True,False,0.05,60,54757960.3,Lower,True,Risk Off,True,20.11785714285714,371.116,315.6516,0.017397479140778695,0.42034875521103005,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,16783,INE200A01026,GVT&D,EQ,,,,,GE VERNOVA T&D INDIA LTD,4400.0,4400.0,4268.8,4324.0,4324.0,4445.2,,4324.01,,,1044144,4505043830.0,92124,F1,1,,,,,,Cash Only,Capital Goods,True,4330.933333333333,4334.4,4327.466666666667,4334.4,4327.466666666667,6.9333333333324845,0.16034535923525634,Narrow,Bearish,Below CPR,False,True,0.11666666666666667,60,3837490370.5,Lower,True,Risk Off,True,142.52142857142846,4448.384,4544.35,0.04864765532333727,1.1739557354024115,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,29731,INE942C01045,GUJTHEM,EQ,,,,,GUJARAT THEMIS BIOSYN LTD,423.9,426.95,415.0,419.95,416.25,422.2,,419.95,,,705471,296752636.8,8139,F1,1,,,,,,Cash Only,Unclassified,False,420.6333333333334,420.975,420.29166666666674,420.975,420.29166666666674,0.6833333333332803,0.1627177838631457,Narrow,Bearish,Below CPR,False,True,0.25,60,27455193.1,Lower,True,Risk Off,True,18.614285714285707,375.85400000000004,371.6243,0.03671015605013787,10.808615904435216,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,10568,INE809A01032,RAMAPHO,EQ,,,,,RAMA PHOSPHATES LIMITED,123.9,124.0,121.76,122.22,121.76,123.36,,122.22,,,10353,1273232.61,294,F1,1,,,,,,Cash Only,Unclassified,False,122.66000000000001,122.88,122.44000000000003,122.88,122.44000000000003,0.4399999999999693,0.36000654557353073,Moderate,Bearish,Below CPR,False,False,0.36666666666666664,60,3490480.25,Lower,True,Risk Off,False,3.9085714285714266,125.2394,127.5592,0.11257309941519689,0.364772901952389,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,19015,INE0KNT01012,MVGJL,EQ,,,,,MANOJ VAIBHAV GEM N JEW L,152.9,174.85,152.15,162.37,161.0,151.03,,162.38,,,648496,106806783.67,9750,F1,1,,,,,,Cash Only,Unclassified,False,163.12333333333333,163.5,162.74666666666667,163.5,162.74666666666667,0.7533333333333303,0.46396091231959735,Moderate,Bearish,Below CPR,False,False,0.45,60,9057861.195,Higher,True,Risk Off,False,6.985000000000004,157.05440000000002,160.0315,0.10785015509424908,11.791611879519424,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,24924,INE819L01012,ELGIRUBCO,EQ,,,,,ELGI RUBBER CO. LTD,58.75,62.4,58.01,60.66,60.36,58.97,,60.66,,,76618,4592599.96,1143,F1,1,,,,,,Cash Only,Unclassified,False,60.35666666666666,60.205,60.508333333333326,60.508333333333326,60.205,0.30333333333332746,0.500054951093517,Moderate,Bullish,Above CPR,False,False,0.36666666666666664,60,2810189.705,Overlapping,True,Risk Off,False,3.204285714285714,57.206199999999995,53.412699999999994,0.09466488334076202,1.6342668795023572,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,2,0,2
2026-09-01,2026-09-01,CM,NSE,STK,7780,INE977Y01011,BCONCEPTS,EQ,,,,,BRAND CONCEPTS LIMITED,165.08,167.77,160.25,162.75,163.26,164.67,,162.87,,,10683,1753446.97,632,F1,1,,,,,,Cash Only,Unclassified,False,163.59,164.01,163.17000000000002,164.01,163.17000000000002,0.839999999999975,0.5161290322580492,Moderate,Bearish,Below CPR,False,False,0.3333333333333333,60,2618829.68,Overlapping,True,Risk Off,False,9.14285714285714,180.92460000000003,200.0874,0.09187499999999729,0.669553649628715,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,2,0,2
