TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,NEXT_Pivot,NEXT_BC,NEXT_TC,NEXT_CPR_Top,NEXT_CPR_Bottom,NEXT_CPR_Width,NEXT_CPR_Width_Pct,NEXT_CPR_Class,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-21,2026-09-21,CM,NSE,STK,6713,INE893J01029,MOLDTKPAC,EQ,,,,,MOLD-TEK PACKAGING LTD,665.0,667.0,643.0,644.85,644.5,658.3,,644.85,,,68804,44636014.55,9855,F1,1,,,,,,Cash Only,Diversified,False,666.05,655.5,658.3,659.9499999999999,660.775,659.1249999999999,660.775,659.1249999999999,1.650000000000091,0.2506456023089915,Moderate,Bearish,Below CPR,651.6166666666667,655.0,648.2333333333333,655.0,648.2333333333333,6.7666666666666515,1.0493396397094907,Wide,False,False,0.31666666666666665,60,35801865.15,False,False,Higher,True,Risk On,False,None,17.039285714285718,687.7109999999999,678.265,0.09683504506393321,1.2467510941954374,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,24026,INE0ATZ01017,KRONOX,BE,,,,,KRONOX LAB SCIENCES LTD,174.45,178.0,170.3,176.65,176.5,172.79,,177.1,,,66171,11520423.91,513,F1,1,,,,,,Cash Only,Diversified,False,175.18,171.7,172.79,173.22333333333333,173.44,173.00666666666666,173.44,173.00666666666666,0.4333333333333371,0.25078611802380757,Moderate,Bearish,Above CPR,174.98333333333335,174.15,175.8166666666667,175.8166666666667,174.15,1.6666666666666856,0.9434852344560916,Wide,False,False,0.5166666666666667,60,16534386.850000001,False,False,Higher,True,Risk On,False,None,10.652142857142858,164.157,151.9523,0.04068039071056608,0.6967554354759758,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,1802,INE197A01024,JYOTISTRUC,EQ,,,,,JYOTI STRUCTURES LTD,9.22,9.3,9.02,9.08,9.1,9.29,,9.08,,,2712203,24841498.66,3411,F1,1,,,,,,Cash Only,Diversified,False,9.42,9.09,9.29,9.266666666666666,9.254999999999999,9.278333333333332,9.278333333333332,9.254999999999999,0.023333333333333428,0.2511661284535353,Moderate,Bullish,Below CPR,9.133333333333333,9.16,9.106666666666666,9.16,9.106666666666666,0.053333333333334565,0.5873715124816582,Moderate,False,False,0.4,60,42595269.125,True,False,Higher,True,Risk On,False,None,0.42357142857142865,10.6626,11.563699999999999,0.05508712759977537,0.5831985375441621,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,-2,0,-2
2026-09-21,2026-09-21,CM,NSE,STK,13776,INE017A01032,GESHIP,EQ,,,,,THE GE SHPG.LTD,1437.8,1487.8,1434.0,1485.0,1487.0,1432.1,,1484.99,,,1170270,1718576382.2,45001,F1,1,,,,,,Cash Only,Services,True,1439.7,1413.7,1432.1,1428.5,1426.7,1430.3,1430.3,1426.7,3.599999999999909,0.25137909363870603,Moderate,Bullish,Above CPR,1468.9333333333334,1460.9,1476.9666666666667,1476.9666666666667,1460.9,16.066666666666606,1.0819304152637443,Wide,False,False,0.8166666666666667,60,838468961.5,False,False,Higher,True,Risk On,False,Bullish Virgin,34.942857142857164,1363.744,1431.8529999999998,0.1030253475061298,2.049660108020588,True,True,No setup,0.0,None,Liftoff,80,"🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹1,430.30) with strong 2.0x volume. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹1,430.30 with stop below Pivot (₹1,428.50).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,760896,INE0OU201013,DCMSIL,EQ,,,,,DCM SHRIRAM INTERNATNL L,69.05,70.74,68.6,69.6,68.61,70.26,,69.6,,,84258,5856567.84,599,F1,1,,,,,,Cash Only,Diversified,False,72.0,67.99,70.26,70.08333333333333,69.995,70.17166666666665,70.17166666666665,69.995,0.1766666666666481,0.25144700635731293,Moderate,Bullish,Below CPR,69.64666666666666,69.66999999999999,69.62333333333333,69.66999999999999,69.62333333333333,0.046666666666652645,0.06704980842909863,Narrow,False,False,0.1111111111111111,36,8002571.23,False,False,Higher,True,Risk On,True,None,3.983571428571431,,,0.04434881357957812,0.7318357652406675,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,20831,INE046W01019,MUTHOOTMF,EQ,,,,,MUTHOOT MICROFIN LIMITED,192.8,195.0,187.3,188.75,189.0,189.28,,188.7,,,130793,24778670.68,3406,F1,1,,,,,,Cash Only,Diversified,False,189.9,187.23,189.28,188.8033333333333,188.565,189.04166666666663,189.04166666666663,188.565,0.47666666666663104,0.251831501831483,Moderate,Bullish,Inside CPR,190.35,191.15,189.54999999999998,191.15,189.54999999999998,1.6000000000000227,0.84768211920531,Wide,False,False,0.08333333333333333,60,84823414.67,True,True,Overlapping,True,Risk On,True,None,7.046428571428578,220.296,207.5358,0.067646561919238,0.29212064589005066,False,False,Watch Long,0.0,None,None,0,No active J-Curve setup.,Long,38,Weak confirmation,CPR width: 0.2518% (12/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.29x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,1,0,0,1
2026-09-21,2026-09-21,CM,NSE,STK,20453,INE071F01012,APCL,EQ,,,,,ANJANI PORTLAND CEM LTD,104.7,104.7,93.2,93.99,94.0,97.85,,93.99,,,25128,2401865.44,273,F1,1,,,,,,Cash Only,Diversified,False,99.5,96.94,97.85,98.09666666666665,98.22,97.9733333333333,98.22,97.9733333333333,0.24666666666669812,0.2520865269971366,Moderate,Bearish,Below CPR,97.29666666666667,98.95,95.64333333333333,98.95,95.64333333333333,3.306666666666672,3.5181047629180466,Wide,False,False,0.9666666666666667,60,550073.01,False,False,Lower,True,Risk On,False,None,3.107142857142855,102.1284,107.9158,0.0793869731800868,4.366448446543487,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,2987,INE418L01047,NAZARA,EQ,,,,,NAZARA TECHNOLOGIES LTD,370.2,372.7,366.2,367.25,367.1,369.35,,367.25,,,444543,164105817.9,8820,F1,1,,,,,,Cash Only,Gaming & Tech,False,377.0,364.5,369.35,370.2833333333333,370.75,369.8166666666666,370.75,369.8166666666666,0.933333333333394,0.25269617797032456,Moderate,Bearish,Below CPR,368.7166666666667,369.45,367.9833333333334,369.45,367.9833333333334,1.4666666666665833,0.3993646471522351,Moderate,False,False,0.9,60,588169355.85,False,False,Higher,True,Risk On,False,None,12.535714285714278,342.95899999999995,314.1217,0.07445394112061267,0.27901116620202104,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,13035,INE429E01023,SAFARI,EQ,,,,,SAFARI IND (INDIA) LTD,1503.0,1512.5,1480.0,1485.7,1485.0,1501.0,,1485.44,,,17267,25799323.0,3553,F1,1,,,,,,Cash Only,Diversified,False,1525.6,1465.0,1501.0,1497.2,1495.3,1499.1000000000001,1499.1000000000001,1495.3,3.800000000000182,0.25316455696203743,Moderate,Bullish,Below CPR,1492.7333333333333,1496.25,1489.2166666666667,1496.25,1489.2166666666667,7.033333333333303,0.4734019878396246,Moderate,False,False,0.03333333333333333,60,38762481.25,True,True,Lower,True,Risk On,True,None,44.72142857142857,1539.734,1544.792,0.0849704520044762,0.6655746012131254,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,-2,-2
2026-09-21,2026-09-21,CM,NSE,STK,419,INE922A01025,BEPL,EQ,,,,,BHANSALI ENG. POLYMERS LT,128.95,131.2,127.05,128.1,128.17,128.95,,128.1,,,849603,109750610.33,8144,F1,1,,,,,,Cash Only,Diversified,False,130.3,126.62,128.95,128.62333333333333,128.46,128.78666666666666,128.78666666666666,128.46,0.3266666666666538,0.25332816337080555,Moderate,Bullish,Below CPR,128.78333333333333,129.125,128.44166666666666,129.125,128.44166666666666,0.6833333333333371,0.5334374186833233,Moderate,False,False,0.16666666666666666,60,154444061.965,False,False,Higher,True,Risk On,True,None,5.617142857142855,121.6586,109.6995,0.05815530688368712,0.7106172224016719,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
