SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260831,193.03,233.53,182.0,218.03,947322878.88,20 MICRONS LTD,20260831,211.18666666666664,207.765,214.6083333333333,214.6083333333333,207.765,6.843333333333305,3.138711798070589,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.5384615384615384,13,481523776.83,Higher,True,Risk Off,False,,,,,1.9673439287182874,False,False,No setup,Sep 2026,Monthly,0,0,0,0
21STCENMGM,20260831,40.17,46.49,39.94,40.34,9089860.709999999,21ST CENTURY MGMT SERVICE,20260831,42.25666666666667,43.215,41.29833333333333,43.215,41.29833333333333,1.9166666666666714,4.751280780036369,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6153846153846154,13,4119955.5,Higher,True,Risk Off,False,,,,,2.206300701548839,False,False,No setup,Sep 2026,Monthly,0,0,0,0
360ONE,20260831,1153.6,1222.9,1136.6,1175.0,20560508718.9,360 ONE WAM LIMITED,20260831,1178.1666666666667,1179.75,1176.5833333333335,1179.75,1176.5833333333335,3.166666666666515,0.2695035460992779,Moderate,Bearish,Below CPR,Financial Services,True,False,False,0.07692307692307693,13,18570182389.2,Higher,True,Risk Off,True,,,,,1.107178609665004,False,False,No setup,Sep 2026,Monthly,0,0,0,0
3BBLACKBIO,20260831,1247.1,1510.0,1099.5,1447.8,408917027.8,3B BLACKBIO DX LTD.,20260831,1352.4333333333334,1304.75,1400.1166666666668,1400.1166666666668,1304.75,95.36666666666679,6.587005571671971,Wide,Bullish,Above CPR,Unclassified,False,False,False,1.0,5,338614086.0,Higher,False,Risk Off,False,,,,,1.2076196611619991,False,False,No setup,Sep 2026,Monthly,0,0,0,0
3IINFOLTD,20260831,23.41,27.8,23.32,26.93,513144535.92,3I INFOTECH LIMITED,20260831,26.01666666666667,25.560000000000002,26.473333333333336,26.473333333333336,25.560000000000002,0.913333333333334,3.3915088501052133,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.5384615384615384,13,193018685.63,Higher,True,Risk Off,False,,,,,2.6585225893810787,False,False,No setup,Sep 2026,Monthly,0,0,0,0
3MINDIA,20260831,35170.0,37300.0,33125.0,33320.0,3027343905.0,3M INDIA LIMITED,20260831,34581.666666666664,35212.5,33950.83333333333,35212.5,33950.83333333333,1261.6666666666715,3.7865146058423518,Wide,Bearish,Below CPR,Diversified,True,False,False,0.8461538461538461,13,3027343905.0,Outside,True,Risk Off,False,,,,,1.0,False,False,No setup,Sep 2026,Monthly,0,0,0,0
3PLAND,20260831,33.0,33.0,31.4,31.49,3874879.46,3P LAND HOLDINGS LIMITED,20260831,31.963333333333335,32.2,31.726666666666667,32.2,31.726666666666667,0.47333333333333627,1.5031226844500993,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.15384615384615385,13,3874879.46,Overlapping,True,Risk Off,True,,,,,1.0,False,False,No setup,Sep 2026,Monthly,0,0,0,0
5PAISA,20260831,353.75,416.95,348.1,356.6,610419877.9499999,5PAISA CAPITAL LIMITED,20260831,373.8833333333334,382.525,365.2416666666668,382.525,365.2416666666668,17.28333333333319,4.8467003178163734,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6923076923076923,13,510055206.85,Overlapping,True,Risk Off,False,,,,,1.1967721724082228,False,False,No setup,Sep 2026,Monthly,0,0,0,0
63MOONS,20260831,941.25,957.95,739.1,778.85,7980676273.900001,63 MOONS TECHNOLOGIES LTD,20260831,825.3000000000001,848.5250000000001,802.075,848.5250000000001,802.075,46.450000000000045,5.963921165821409,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.46153846153846156,13,2560207404.55,Inside,True,Risk Off,False,,,,,3.1171991221167255,False,False,No setup,Sep 2026,Monthly,0,0,0,0
A2ZINFRA,20260831,15.76,17.95,14.06,16.75,202081791.96,A2Z INFRA ENGINEERING LTD,20260831,16.253333333333334,16.005,16.50166666666667,16.50166666666667,16.005,0.4966666666666697,2.965174129353252,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.4,10,69531936.575,Higher,True,Risk Off,False,,,,,2.9063161751870132,False,False,No setup,Sep 2026,Monthly,0,0,0,0
