TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-02,2026-09-02,CM,NSE,STK,25756,INE806A01020,VIKASECO,EQ,,,,,VIKAS ECOTECH LIMITED,1.1,1.1,1.08,1.09,1.09,1.09,,1.09,,,1168495,1274057.08,857,F1,1,,,,,,Cash Only,Diversified,False,1.09,1.09,1.09,1.09,1.09,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.9666666666666667,60,2072538.875,False,False,Lower,True,Risk Off,False,Bearish Virgin,0.03285714285714282,1.1414,1.2126,0.0,0.6147325366816099,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,764653,INE145E01017,CRAVATEX,EQ,,,,,CRAVATEX LTD.,339.0,339.0,339.0,339.0,339.0,318.1,,339.18,,,1,339.0,1,F1,1,,,,,,Cash Only,Diversified,False,339.0,339.0,339.0,339.0,339.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.08333333333333333,12,40338.25,True,True,Higher,False,Risk Off,False,Bullish Virgin,,,,,0.008403934231157772,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,18024,INE023M01027,SETUINFRA,BZ,,,,,SETUBANDHAN INFRA LTD,0.53,0.53,0.53,0.53,0.53,0.51,,0.53,,,24242,12848.26,24,F1,1,,,,,,Cash Only,Real Estate & Infra,False,0.53,0.53,0.53,0.53,0.53,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,1.0,1,9421.49,False,False,Unknown,False,Risk Off,False,None,,,,,1.3637184776505629,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,21508,INE704P01025,COCHINSHIP,EQ,,,,,COCHIN SHIPYARD LIMITED,1473.9,1473.9,1452.1,1463.0,1463.0,1475.9,,1462.91,,,327832,478579163.2,16340,F1,1,,,,,,F&O + Cash,Capital Goods,True,1463.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.75,60,1302092511.8,False,False,Lower,True,Risk Off,False,Bearish Virgin,37.04285714285715,1459.0680000000002,1503.382,0.0,0.36754620648145564,True,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,13687,INE748A01024,MBECL,BE,,,,,MCNALLY BHARAT ENGIN CO L,234.83,234.83,234.83,234.83,234.83,223.65,,234.83,,,5502,1292034.66,204,F1,1,,,,,,Cash Only,Diversified,False,234.83,234.83,234.83,234.83,234.83,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,1.0,1,1645041.6,False,False,Unknown,False,Risk Off,False,None,,,,,0.7854115421761978,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,10192,INE979R01011,SHYAMCENT,BE,,,,,SHYAM CENTURY FERROUS LTD,5.19,5.19,4.85,5.02,5.02,4.95,,5.02,,,40748,204102.67,77,F1,1,,,,,,Cash Only,Diversified,False,5.02,5.02,5.02,5.02,5.02,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.35,60,479479.86,False,False,Lower,True,Risk Off,False,Bearish Virgin,0.46285714285714297,5.3038,5.189400000000001,0.0,0.425675168087352,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,7165,INE287C01037,MICEL,BE,,,,,MIC ELECTRONICS LTD,38.24,38.24,38.24,38.24,38.24,39.02,,38.08,,,22139,846595.36,236,F1,1,,,,,,Cash Only,Diversified,False,38.24,38.24,38.24,38.24,38.24,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,42731552.995,True,True,Lower,True,Risk Off,False,Bearish Virgin,1.119999999999999,43.5264,40.412600000000005,0.0,0.01981194926613268,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,24445,INE976R01033,AGIIL,EQ,,,,,AGI INFRA LIMITED,284.7,285.0,276.5,280.75,281.75,286.1,,280.75,,,231029,64782529.9,4242,F1,1,,,,,,Cash Only,Diversified,False,280.75,280.75,280.75,280.75,280.75,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.13333333333333333,60,430447919.45,True,True,Lower,True,Risk Off,False,Bearish Virgin,10.97142857142857,319.29200000000003,346.3325,0.0,0.15050027418595763,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,765409,INE013820027,KSHITIJ-RE,BE,,,,,KSHITIJ POLYLINE LTD,0.06,0.06,0.06,0.06,0.06,0.05,,0.06,,,6816757,409005.42,741,F1,1,,,,,,Cash Only,Diversified,False,0.06,0.06,0.06,0.06,0.06,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,1.0,1,143966.6,False,False,Unknown,False,Risk Off,False,None,,,,,2.840974364887411,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,8772,INE891A01022,DSKULKARNI,BE,,,,,DS KULKARNI DEVELOPERS L,19.04,19.04,19.04,19.04,19.04,18.67,,19.04,,,4,76.16,1,F1,1,,,,,,Cash Only,Diversified,False,19.04,19.04,19.04,19.04,19.04,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,1.0,1,6030.41,False,False,Unknown,False,Risk Off,False,None,,,,,0.012629323710991458,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
