TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-04,2026-09-04,CM,NSE,STK,14890,INE642Z01026,AKI,EQ,,,,,AKI INDIA LIMITED,7.22,7.22,7.22,7.22,7.22,6.57,,7.27,,,258805,1868572.1,113,F1,1,,,,,,Cash Only,Diversified,False,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,0.0,0.0,Narrow,Neutral,Above CPR,False,False,1.0,60,428395.365,False,False,Higher,True,Risk Off,False,Bullish Virgin,0.37142857142857155,4.4724,4.7193000000000005,0.0,4.361793456845641,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,20194,INE542B01011,AKSHARCHEM,BE,,,,,AKSHARCHEM INDIA LIMITED,445.2,445.2,402.8,444.85,445.2,424.0,,445.69,,,70539,30166261.3,959,F1,1,,,,,,Cash Only,Chemicals & Fertilizers,False,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,0.0,0.0,Narrow,Neutral,Above CPR,False,False,0.9333333333333333,60,786407.94,False,False,Higher,True,Risk Off,False,Bullish Virgin,25.66857142857143,223.2676,209.0357,0.0,38.35955839916876,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,8437,INE946H01037,VIPULLTD,BE,,,,,VIPUL LIMITED,13.98,13.98,13.98,13.98,13.98,14.26,,13.98,,,2455,34320.9,62,F1,1,,,,,,Cash Only,Diversified,False,14.26,14.26,14.26,14.26,14.26,14.26,14.26,14.26,0.0,0.0,Narrow,Neutral,Below CPR,False,False,0.08333333333333333,60,4402470.66,False,False,Lower,True,Risk Off,False,Bearish Virgin,0.865,11.158600000000002,9.956999999999999,0.0,0.007795827082241134,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,7529,INE938A01021,LCCINFOTEC,EQ,,,,,LCC INFOTECH LTD,4.07,4.08,3.72,3.81,3.86,3.85,,3.86,,,44787,172107.3,258,F1,1,,,,,,Cash Only,Information Technology,False,4.0,3.7,3.85,3.85,3.85,3.85,3.85,3.85,0.0,0.0,Narrow,Neutral,Below CPR,False,False,0.45,60,209983.43,False,False,Higher,True,Risk Off,False,Bullish Virgin,0.39785714285714296,4.163399999999999,4.3751,0.0,0.8196232436054597,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,7165,INE287C01037,MICEL,BE,,,,,MIC ELECTRONICS LTD,36.74,36.74,36.74,36.74,36.74,37.48,,36.58,,,82417,3028000.58,553,F1,1,,,,,,Cash Only,Diversified,False,37.48,37.48,37.48,37.48,37.48,37.48,37.48,37.48,0.0,0.0,Narrow,Neutral,Below CPR,False,False,0.03333333333333333,60,41226676.86,True,True,Lower,True,Risk Off,False,Bearish Virgin,1.0878571428571426,43.3716,40.3399,0.0,0.07344760263561054,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,10407,INE013801027,KSHITIJPOL,EQ,,,,,KSHITIJ POLYLINE LIMITED,3.15,3.3,3.15,3.3,3.3,3.15,,3.3,,,2941441,9633333.3,1040,F1,1,,,,,,Cash Only,Diversified,False,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,0.0,0.0,Narrow,Neutral,Above CPR,False,False,0.75,60,691299.575,False,False,Higher,True,Risk Off,False,Bullish Virgin,0.155,2.5726,2.5978999999999997,0.0,13.935106643165522,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,762663,INE669R01026,ELITECON,EQ,,,,,ELITECON INTERNATIONAL L,8.68,8.68,8.68,8.68,8.68,9.13,,8.68,,,1122582,9744011.76,3278,F1,1,,,,,,Cash Only,Diversified,False,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,0.0,0.0,Narrow,Neutral,Below CPR,False,False,0.025,60,37509523.545,True,True,Lower,True,Risk Off,False,Bearish Virgin,0.9592857142857143,17.9586,,0.0,0.25977434099663127,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,762670,INE507F01023,EMPOWER,EQ,,,,,EMPOWER INDIA LTD.,1.73,1.9,1.73,1.84,1.89,1.82,,1.84,,,26427168,46944709.51,4753,F1,1,,,,,,Cash Only,Power & Utilities,False,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,0.0,0.0,Narrow,Neutral,Above CPR,False,False,0.20454545454545456,22,7571311.33,True,True,Lower,True,Risk Off,False,Bearish Virgin,0.12642857142857142,,,0.0,6.200340662784501,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,11961,INE617A01013,SEMAC,EQ,,,,,SEMAC CONSTRUCTION LTD,298.9,298.9,276.05,277.25,277.0,290.55,,277.27,,,4531,1260927.65,135,F1,1,,,,,,Cash Only,Diversified,False,290.55,290.55,290.55,290.55,290.55,290.55,290.55,290.55,0.0,0.0,Narrow,Neutral,Below CPR,False,False,0.016666666666666666,60,226753.28,True,True,Higher,True,Risk Off,False,None,18.307142857142853,287.2376,270.6065,0.0,5.5607912264819275,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,-2,0,-2
2026-09-04,2026-09-04,CM,NSE,STK,765053,INE716D01033,CRSL,BE,,,,,CRESSANDA RAILWAY SOLUT L,2.61,2.74,2.48,2.73,2.74,2.61,,2.73,,,702306,1882951.33,867,F1,1,,,,,,Cash Only,Diversified,False,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,0.0,0.0,Narrow,Neutral,Above CPR,False,False,0.6,10,1055263.5899999999,False,False,Lower,False,Risk Off,False,Bearish Virgin,,,,,1.7843421755885658,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
