TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,NEXT_Pivot,NEXT_BC,NEXT_TC,NEXT_CPR_Top,NEXT_CPR_Bottom,NEXT_CPR_Width,NEXT_CPR_Width_Pct,NEXT_CPR_Class,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-23,2026-09-23,CM,NSE,STK,5551,INE251C01025,ABMINTLLTD,BE,,,,,ABM INTERNATIONAL LTD,47.06,47.06,47.06,47.06,47.06,48.02,,47.06,,,547,25741.82,7,F1,1,,,,,,Cash Only,Diversified,False,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,0.0,0.0,Narrow,Neutral,Below CPR,47.06,47.06,47.06,47.06,47.06,0.0,0.0,Narrow,False,False,0.0847457627118644,60,13821.625,True,True,Lower,True,Neutral,False,Bearish Virgin,0.9521428571428575,46.87780000000001,44.48350000000001,0.0,1.8624307923272407,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,17695,INE159N01027,VIJIFIN,BE,,,,,VIJI FINANCE LIMITED,15.91,15.91,15.91,15.91,15.91,15.6,,16.01,,,95183,1514361.53,64,F1,1,,,,,,Cash Only,Diversified,False,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,0.0,0.0,Narrow,Neutral,Above CPR,15.910000000000002,15.91,15.910000000000004,15.910000000000004,15.91,3.552713678800501e-15,2.233006712005343e-14,Narrow,False,False,0.3,60,1139422.38,False,False,Higher,True,Neutral,False,Bullish Virgin,0.35357142857142837,6.3724,,0.0,1.329060721099756,True,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,762725,INE155E01016,INVPRECQ,BE,,,,,INVESTMENT & PREC CAST L,1423.2,1423.2,1423.2,1423.2,1423.2,1395.3,,1423.05,,,3678,5234529.6,44,F1,1,,,,,,Cash Only,Diversified,False,1395.3,1395.3,1395.3,1395.3,1395.3,1395.3,1395.3,1395.3,0.0,0.0,Narrow,Neutral,Above CPR,1423.2,1423.2,1423.2,1423.2,1423.2,0.0,0.0,Narrow,False,False,0.3333333333333333,60,2429281.65,False,False,Higher,True,Neutral,False,Bullish Virgin,24.514285714285716,938.7890000000001,,0.0,2.154764393004821,True,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,764573,INE782D01027,ALFREDHE,EQ,,,,,ALFRED HERBERT INDIA L,2830.0,2830.0,2796.9,2796.9,2796.9,2811.0,,2800.97,,,13,36701.9,13,F1,1,,,,,,Cash Only,Diversified,False,2811.0,2811.0,2811.0,2811.0,2811.0,2811.0,2811.0,2811.0,0.0,0.0,Narrow,Neutral,Below CPR,2807.933333333333,2813.45,2802.416666666666,2813.45,2802.416666666666,11.033333333333758,0.394484369599691,Moderate,False,False,0.5454545454545454,24,100947.3,False,False,Lower,True,Neutral,False,None,116.89285714285714,,,0.0,0.36357485539484463,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,13229,INE251H01024,GVKPIL,BE,,,,,GVK POW. & INFRA LTD.,2.53,2.53,2.53,2.53,2.53,2.49,,2.54,,,282179,713912.87,150,F1,1,,,,,,Cash Only,Diversified,False,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,0.0,0.0,Narrow,Neutral,Above CPR,2.53,2.53,2.53,2.53,2.53,0.0,0.0,Narrow,False,False,0.3333333333333333,15,1167764.3,True,True,Higher,False,Neutral,False,Bullish Virgin,0.045000000000000054,,,0.0,0.6113501414626222,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,765195,INE457P01020,TOYAMSL,EQ,,,,,TOYAM SPORTS LTD.,0.88,0.88,0.86,0.88,0.88,0.84,,0.89,,,1227535,1080051.07,291,F1,1,,,,,,Cash Only,Diversified,False,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.0,0.0,Narrow,Neutral,Above CPR,0.8733333333333334,0.87,0.8766666666666668,0.8766666666666668,0.87,0.006666666666666821,0.757575757575775,Wide,False,False,0.19230769230769232,26,240274.03499999997,False,False,Higher,True,Neutral,False,Bullish Virgin,0.029285714285714286,,,0.0,4.495080252845465,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,14245,INE421C01016,TVSSRICHAK,EQ,,,,,TVS SRICHAKRA LIMITED,4651.5,4730.0,4620.5,4651.0,4625.0,4650.0,,4651.55,,,5138,24072666.0,1243,F1,1,,,,,,Cash Only,Diversified,False,4690.0,4610.0,4650.0,4650.0,4650.0,4650.0,4650.0,4650.0,0.0,0.0,Narrow,Neutral,Above CPR,4667.166666666667,4675.25,4659.083333333334,4675.25,4659.083333333334,16.16666666666606,0.3475954991757914,Moderate,False,False,0.95,60,21701205.4,False,False,Lower,True,Neutral,False,None,225.60714285714286,4561.344,4258.342000000001,0.0,1.109277828410398,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,765155,INE286N01028,PRISMX,EQ,,,,,PRISMX GLOBAL VENTURES L,0.55,0.55,0.53,0.53,0.53,0.55,,0.52,,,233005,124556.59,116,F1,1,,,,,,Cash Only,Diversified,False,0.56,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,Narrow,Neutral,Below CPR,0.5366666666666667,0.54,0.5333333333333334,0.54,0.5333333333333334,0.006666666666666599,1.2578616352201129,Wide,False,False,0.28846153846153844,26,71023.07999999999,False,False,Higher,True,Neutral,False,None,0.03714285714285713,,,0.0,1.7537480773855487,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,22284,INE319Y01024,TIRUPATIFL,BE,,,,,TIRUPATI FORGE LIMITED,78.34,78.34,76.0,78.34,78.34,74.61,,78.34,,,1107996,86664884.09,1217,F1,1,,,,,,Cash Only,Diversified,False,74.61,74.61,74.61,74.61,74.61,74.61,74.61,74.61,0.0,0.0,Narrow,Neutral,Above CPR,77.56,77.17,77.95,77.95,77.17,0.7800000000000011,0.9956599438345686,Wide,False,False,0.016666666666666666,60,26683450.950000003,True,True,Higher,True,Neutral,False,Bullish Virgin,3.2157142857142884,60.135999999999996,47.6766,0.0,3.2478888975940348,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,8954,INE517B01013,TTML,EQ,,,,,TATA TELESERV(MAHARASTRA),35.64,36.09,35.5,35.63,35.7,35.62,,35.63,,,1081213,38635481.38,6041,F1,1,,,,,,Cash Only,Telecommunication,True,35.99,35.25,35.62,35.620000000000005,35.620000000000005,35.620000000000005,35.620000000000005,35.620000000000005,0.0,0.0,Narrow,Neutral,Above CPR,35.74,35.795,35.685,35.795,35.685,0.10999999999999943,0.30872859949480613,Moderate,False,False,0.6666666666666666,60,52043109.215,False,False,Lower,True,Neutral,False,None,1.1035714285714293,38.3188,40.6685,0.0,0.7423745806652224,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
