SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Own_Narrow,Bias,Price_Position,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
GNFC,Diversified,576.0,578.35,579.525,577.1750000000001,0.40798611111109534,0.21666666666666667,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,68,Confirmed,CPR width: 0.4080% (12/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.17x) (20/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
BORORENEW,Power & Utilities,497.15,499.1833333333334,500.20000000000005,498.16666666666674,0.40899795501021885,0.21666666666666667,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4090% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.61x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
JSFB,Diversified,529.8,531.9833333333333,533.075,530.8916666666667,0.4121051969296705,0.18333333333333332,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,60,Mixed,CPR width: 0.4121% (12/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.97x) (12/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
NIMBSPROJ,Diversified,168.01,168.70333333333335,169.05,168.35666666666668,0.41267384877883945,0.058823529411764705,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4127% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.58x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
SIRCA,Diversified,431.0,432.7833333333333,433.675,431.8916666666666,0.41376643464812446,0.13333333333333333,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,60,Mixed,CPR width: 0.4138% (12/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.78x) (12/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GEMAROMA,Diversified,166.69,167.39666666666668,167.75,167.04333333333335,0.4239406483092263,0.15,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4239% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.47x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
JAYBARMARU,Diversified,124.8,125.33,125.595,125.065,0.4246794871794881,0.18333333333333332,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4247% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.25x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
JMFINANCIL,Financial Services,128.25,128.79666666666665,129.07,128.5233333333333,0.4262508122157357,0.11666666666666667,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4263% (12/20); Price location: Below CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: moderate (0.89x) (12/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
SURYAROSNI,Diversified,218.82,219.7733333333333,220.25,219.29666666666662,0.43567010937454337,0.13333333333333333,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4357% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.38x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ADVANCE,Diversified,116.22,116.74000000000001,117.0,116.48000000000002,0.44742729306486134,0.25,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,52,Mixed,CPR width: 0.4474% (12/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.40x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
