SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260911,224.9,231.99,204.01,207.86,184465089.86,20 MICRONS LTD,Diversified,Cash Only,20260911,214.62,218.0,211.24,218.0,211.24,6.759999999999991,3.252188973347441,Wide,Bearish,Below CPR,False,False,0.9245283018867925,53,113797548.27,False,False,Overlapping,True,Risk Off,False,None,19.77928571428572,189.56599999999997,,0.3417716947744749,1.6209935333785204,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
21STCENMGM,20260911,38.4,39.55,37.47,38.39,673902.27,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20260911,38.47,38.51,38.43,38.51,38.43,0.0799999999999983,0.20838760093773975,Narrow,Bearish,Below CPR,False,True,0.05660377358490566,53,851667.47,True,True,Lower,True,Risk Off,True,None,3.0292857142857157,38.9054,,0.026408865833529253,0.791273934649635,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
360ONE,20260911,1141.8,1143.5,1065.6,1091.0,4494763518.6,360 ONE WAM LIMITED,Financial Services,F&O + Cash,20260911,1100.0333333333333,1104.55,1095.5166666666667,1104.55,1095.5166666666667,9.033333333333303,0.8279865566758298,Wide,Bearish,Below CPR,False,False,0.5283018867924528,53,4263262683.0,False,False,Lower,True,Risk Off,False,None,65.42857142857146,1110.125,,0.13806404657932989,1.0543013304160505,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
3BBLACKBIO,20260911,1486.0,1569.5,1389.0,1419.9,121322395.5,3B BLACKBIO DX LTD.,Healthcare & Pharma,Cash Only,20260911,1459.4666666666665,1479.25,1439.683333333333,1479.25,1439.683333333333,39.56666666666706,2.7865812146395563,Wide,Bearish,Below CPR,False,False,0.8571428571428571,21,64368922.400000006,False,False,Overlapping,True,Risk Off,False,None,146.96428571428572,,,0.26922640745241255,1.8847976783902163,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
3IINFOLTD,20260911,22.5,22.97,21.75,22.85,25362622.86,3I INFOTECH LIMITED,Information Technology,Cash Only,20260911,22.52333333333333,22.36,22.68666666666666,22.68666666666666,22.36,0.3266666666666609,1.4296134208606603,Wide,Bullish,Above CPR,False,False,0.6078431372549019,51,33951439.49,False,False,Outside,True,Risk Off,False,None,1.9335714285714285,17.7852,,0.16894471124245483,0.747026436610155,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
3MINDIA,20260911,32700.0,33330.0,32400.0,32710.0,255120590.0,3M INDIA LIMITED,Diversified,Cash Only,20260911,32813.333333333336,32865.0,32761.66666666667,32865.0,32761.66666666667,103.33333333332848,0.3159074696830586,Moderate,Bearish,Below CPR,False,False,0.16981132075471697,53,593318620.0,True,True,Lower,True,Risk Off,True,None,1738.5714285714287,33493.2,,0.059435771021635116,0.4299891852374362,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
3PLAND,20260911,32.39,32.51,28.51,31.24,830546.49,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20260911,30.75333333333333,30.509999999999998,30.996666666666663,30.996666666666663,30.509999999999998,0.4866666666666646,1.5578318395219737,Wide,Bullish,Above CPR,False,False,0.5849056603773585,53,731150.26,False,False,Lower,True,Risk Off,False,None,2.6628571428571433,35.048,,0.1827610872675242,1.1359450108107736,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
5PAISA,20260911,339.0,344.85,322.35,326.55,56396905.0,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20260911,331.25,333.6,328.9,333.6,328.9,4.7000000000000455,1.4392895421834468,Wide,Bearish,Below CPR,False,False,0.5094339622641509,53,85622394.5,False,False,Lower,True,Risk Off,False,None,31.77142857142857,331.4176,,0.14793165467626043,0.6586700282015588,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
63MOONS,20260911,882.55,945.0,845.2,908.9,3224868772.1499996,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20260911,899.6999999999999,895.1,904.2999999999998,904.2999999999998,895.1,9.199999999999818,1.0122125646385542,Wide,Bullish,Above CPR,False,False,0.37735849056603776,53,528566253.15,False,False,Higher,True,Risk Off,False,None,87.06785714285714,708.075,,0.10566471143196805,6.10116282099233,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
A2ZINFRA,20260911,15.61,16.15,14.81,15.33,15003861.969999999,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20260911,15.43,15.48,15.379999999999999,15.48,15.379999999999999,0.10000000000000142,0.6523157208088808,Moderate,Bearish,Below CPR,False,False,0.2777777777777778,36,17537444.785,True,True,Lower,True,Risk Off,False,None,1.7464285714285712,,,0.05725971370143231,0.8555329555667649,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
