Rank,SYMBOL,NAME,Industry,AUG_CLOSE,LTP,DAY_CHG_PCT,CATEGORY,UNIFIED_SCORE,Commentary,CPR_Class,CPR_Width,CPR_Width_Pct,Pivot,CPR_Bottom,CPR_Top,BC,TC,Bias,Price_Position,Current_Position_LTP,Value_Ratio,VALUE_in_Cr,Value_60d_in_Cr,SEP1_VALUE_in_Cr,Overlay,Nifty500,Setup,Regime
1,NETWEB,NETWEB TECH INDIA LTD,Information Technology,5188.6,5152.0,-0.71,Narrow CPR - Breakout,100.0,"Ultra-tight Narrow CPR (0.16%) with above-average 1.9x volume. Currently testing below CPR Bottom (₹5,176.50). Due to tight compression, watch for a sharp reclaim above ₹5,184.57 for a false breakdown reversal or breakdown continuation below ₹5,176.50.",Narrow,8.07,0.1555,5180.53,5176.5,5184.57,5176.5,5184.57,Bullish,Above CPR,Below CPR,1.89,22345.28,11794.59,740.85,Higher,True,No setup,Risk Off
2,WELCORP,WELSPUN CORP LIMITED,Capital Goods,2391.0,2556.3,6.91,Above CPR - Volume Strength,100.0,"massive 10.8x volume explosion backed by monthly bullish structure. Trading strong above monthly CPR Top (₹2,277.85) with +6.91% gain on Day 1. Look for bullish continuation above ₹2,277.85 with target expansion.",Wide,226.3,9.4647,2164.7,2051.55,2277.85,2051.55,2277.85,Bullish,Above CPR,Above CPR,10.82,11451.39,1058.27,902.28,Higher,True,No setup,Risk Off
3,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,Fast Moving Consumer Goods,693.5,667.2,-3.79,Above CPR - Volume Strength,99.88,massive 13.4x volume explosion backed by monthly bullish structure. Trading below monthly CPR Bottom (₹686.75) (-3.79%). Needs a clear close above Pivot (₹689.00) to reverse bearish pressure.,Moderate,4.5,0.6489,689.0,686.75,691.25,686.75,691.25,Bullish,Above CPR,Below CPR,13.44,9434.79,701.92,375.68,Higher,True,No setup,Risk Off
4,FINCABLES,FINOLEX CABLES LTD,Capital Goods,1247.15,1246.5,-0.05,Above CPR - Volume Strength,98.27,"massive 10.0x volume explosion backed by monthly bullish structure. Consolidating above monthly CPR Top (₹1,225.10). Hold/buy on pullbacks holding above Pivot (₹1,203.05).",Wide,44.1,3.5361,1203.05,1181.0,1225.1,1181.0,1225.1,Bullish,Above CPR,Above CPR,10.04,5400.65,538.0,79.85,Higher,True,No setup,Risk Off
5,ASTRAL,ASTRAL LIMITED,Capital Goods,1522.2,1507.0,-1.0,Narrow CPR - Breakout,97.78,"Narrow/Moderate CPR (0.58%) with above-average 2.2x volume. Trading below monthly CPR Bottom (₹1,509.00) (-1.00%). Needs a clear close above Pivot (₹1,513.40) to reverse bearish pressure.",Moderate,8.8,0.5781,1513.4,1509.0,1517.8,1509.0,1517.8,Bullish,Above CPR,Below CPR,2.18,4823.05,2209.22,110.27,Higher,True,No setup,Risk Off
6,DEEPAKNTR,DEEPAK NITRITE LTD,Chemicals,1749.4,1779.0,1.69,Narrow CPR - Breakout,95.96,"Ultra-tight Narrow CPR (0.16%) with strong 3.8x volume surge. Trading strong above monthly CPR Top (₹1,753.55) with +1.69% gain on Day 1. Look for bullish continuation above ₹1,753.55 with target expansion.",Narrow,2.77,0.1581,1752.17,1750.78,1753.55,1753.55,1750.78,Bearish,Below CPR,Above CPR,3.8,2127.64,560.3,180.51,Higher,True,No setup,Risk Off
7,TECHM,TECH MAHINDRA LIMITED,Information Technology,1628.0,1638.0,0.61,Narrow CPR - Breakout,95.74,"Ultra-tight Moderate CPR (0.26%) with 1.4x average volume. Trading strong above monthly CPR Top (₹1,625.92) with +0.61% gain on Day 1. Look for bullish continuation above ₹1,625.92 with target expansion.",Moderate,4.17,0.2559,1623.83,1621.75,1625.92,1621.75,1625.92,Bullish,Above CPR,Above CPR,1.39,8960.18,6424.85,394.88,Higher,True,No setup,Risk Off
8,NESTLEIND,NESTLE INDIA LIMITED,Fast Moving Consumer Goods,1496.5,1438.2,-3.9,Narrow CPR - Breakout,95.65,"Ultra-tight Moderate CPR (0.28%) with above-average 1.6x volume. Currently testing below CPR Bottom (₹1,490.30). Due to tight compression, watch for a sharp reclaim above ₹1,494.43 for a false breakdown reversal or breakdown continuation below ₹1,490.30.",Moderate,4.13,0.2762,1492.37,1490.3,1494.43,1490.3,1494.43,Bullish,Above CPR,Below CPR,1.56,5527.0,3541.82,371.63,Inside,True,No setup,Risk Off
9,NAUKRI,INFO EDGE (I) LTD,Consumer Services,1313.0,1356.0,3.27,Narrow CPR - Breakout,94.94,"Narrow/Moderate CPR (0.31%) with above-average 1.5x volume. Trading strong above monthly CPR Top (₹1,310.93) with +3.27% gain on Day 1. Look for bullish continuation above ₹1,310.93 with target expansion.",Moderate,4.13,0.3148,1308.87,1306.8,1310.93,1306.8,1310.93,Bullish,Above CPR,Above CPR,1.5,5353.53,3579.45,212.37,Higher,True,No setup,Risk Off
10,SWIGGY,SWIGGY LIMITED,Consumer Services,281.9,275.0,-2.45,Narrow CPR - Breakout,93.51,Moderate CPR (1.29%) with 1.2x average volume. Trading below monthly CPR Bottom (₹283.73) (-2.45%). Needs a clear close above Pivot (₹285.55) to reverse bearish pressure.,Wide,3.65,1.2948,285.55,283.73,287.38,287.38,283.73,Bearish,Below CPR,Below CPR,1.22,8461.75,6949.08,149.29,Higher,True,No setup,Risk Off
